dest_ip,metadata_region,metadata_service,metadata_network_border_group
3.5.140.0/22,ap-northeast-2,S3,ap-northeast-2
52.219.170.0/23,eu-central-1,S3,eu-central-1
52.219.168.0/24,eu-central-1,S3,eu-central-1
16.12.80.0/24,ap-east-2,S3,ap-east-2
52.95.150.0/24,eu-west-2,S3,eu-west-2
52.219.60.0/23,ap-northeast-2,S3,ap-northeast-2
3.5.60.0/22,ap-southeast-7,S3,ap-southeast-7
16.12.44.0/24,ap-southeast-5,S3,ap-southeast-5
16.12.6.0/23,ap-east-1,S3,ap-east-1
16.12.32.0/22,eu-central-1,S3,eu-central-1
52.219.204.0/22,ap-northeast-2,S3,ap-northeast-2
76.223.102.0/24,GLOBAL,S3,GLOBAL
52.95.182.0/23,ap-northeast-3,S3,ap-northeast-3
52.219.212.0/22,us-east-2,S3,us-east-2
76.223.96.0/24,GLOBAL,S3,GLOBAL
108.175.56.0/22,us-gov-west-1,S3,us-gov-west-1
3.5.92.0/23,us-east-2,S3,us-east-2
52.219.192.0/23,us-west-1,S3,us-west-1
16.12.24.0/21,eu-central-1,S3,eu-central-1
52.95.136.0/23,eu-south-2,S3,eu-south-2
52.219.143.0/24,us-east-2,S3,us-east-2
3.5.40.0/22,ap-southeast-4,S3,ap-southeast-4
3.5.136.0/22,eu-central-1,S3,eu-central-1
52.219.72.0/22,eu-central-1,S3,eu-central-1
52.219.68.0/22,ap-northeast-1,S3,ap-northeast-1
136.18.0.0/23,us-gov-west-1,S3,us-gov-west-1
3.5.160.0/22,us-west-1,S3,us-west-1
13.248.230.0/24,GLOBAL,S3,GLOBAL
52.95.174.0/24,me-south-1,S3,me-south-1
52.95.187.0/24,me-central-1,S3,me-central-1
16.12.48.0/21,ap-southeast-1,S3,ap-southeast-1
52.219.141.0/24,us-east-2,S3,us-east-2
52.219.255.0/24,us-west-1,S3,us-west-1
52.95.139.0/24,eu-central-2,S3,eu-central-2
52.95.128.0/21,ap-southeast-2,S3,ap-southeast-2
52.219.162.0/23,ap-northeast-1,S3,ap-northeast-1
52.95.178.0/23,ap-southeast-3,S3,ap-southeast-3
3.5.36.0/22,ap-southeast-3,S3,ap-southeast-3
52.95.168.0/24,ap-southeast-4,S3,ap-southeast-4
52.219.16.0/22,ap-northeast-1,S3,ap-northeast-1
16.12.74.0/24,ap-southeast-2,S3,ap-southeast-2
3.5.88.0/22,us-east-2,S3,us-east-2
3.5.208.0/22,ap-south-1,S3,ap-south-1
16.12.96.0/21,us-west-2,S3,us-west-2
18.34.0.0/19,us-east-1,S3,us-east-1
16.12.15.0/24,eu-west-2,S3,eu-west-2
52.219.23.0/24,us-west-1,S3,us-west-1
54.222.100.0/22,cn-north-1,S3,cn-north-1
18.34.72.0/21,us-east-2,S3,us-east-2
16.12.10.0/23,eu-north-1,S3,eu-north-1
52.219.148.0/23,ap-northeast-2,S3,ap-northeast-2
52.219.211.0/24,eu-central-1,S3,eu-central-1
3.5.128.0/22,us-east-2,S3,us-east-2
3.5.196.0/22,ap-east-2,S3,ap-east-2
52.219.195.0/24,ap-northeast-1,S3,ap-northeast-1
3.5.72.0/23,eu-west-1,S3,eu-west-1
52.95.166.0/23,ap-southeast-4,S3,ap-southeast-4
16.12.20.0/24,eu-west-3,S3,eu-west-3
16.12.42.0/23,ap-southeast-5,S3,ap-southeast-5
