dest_ip,metadata_region,metadata_service,metadata_network_border_group
140.179.113.248/29,cn-north-1,CODEBUILD,cn-north-1
52.80.198.136/29,cn-north-1,CODEBUILD,cn-north-1
52.82.1.0/29,cn-northwest-1,CODEBUILD,cn-northwest-1
69.234.197.72/29,cn-northwest-1,CODEBUILD,cn-northwest-1
18.252.145.168/29,us-gov-east-1,CODEBUILD,us-gov-east-1
18.252.4.16/29,us-gov-east-1,CODEBUILD,us-gov-east-1
15.200.28.88/29,us-gov-west-1,CODEBUILD,us-gov-west-1
52.61.40.104/29,us-gov-west-1,CODEBUILD,us-gov-west-1
13.244.202.40/29,af-south-1,CODEBUILD,af-south-1
13.245.166.176/29,af-south-1,CODEBUILD,af-south-1
16.162.162.96/29,ap-east-1,CODEBUILD,ap-east-1
13.112.191.184/29,ap-northeast-1,CODEBUILD,ap-northeast-1
35.75.131.80/29,ap-northeast-1,CODEBUILD,ap-northeast-1
13.124.145.16/29,ap-northeast-2,CODEBUILD,ap-northeast-2
3.38.90.8/29,ap-northeast-2,CODEBUILD,ap-northeast-2
15.152.24.128/29,ap-northeast-3,CODEBUILD,ap-northeast-3
13.127.70.136/29,ap-south-1,CODEBUILD,ap-south-1
3.109.72.152/29,ap-south-1,CODEBUILD,ap-south-1
18.60.78.240/28,ap-south-2,CODEBUILD,ap-south-2
13.213.75.224/29,ap-southeast-1,CODEBUILD,ap-southeast-1
52.221.221.128/29,ap-southeast-1,CODEBUILD,ap-southeast-1
13.55.255.216/29,ap-southeast-2,CODEBUILD,ap-southeast-2
3.26.127.24/29,ap-southeast-2,CODEBUILD,ap-southeast-2
108.137.114.0/28,ap-southeast-3,CODEBUILD,ap-southeast-3
16.50.248.32/28,ap-southeast-4,CODEBUILD,ap-southeast-4
56.68.33.32/28,ap-southeast-5,CODEBUILD,ap-southeast-5
3.103.24.192/28,ap-southeast-6,CODEBUILD,ap-southeast-6
43.209.155.112/28,ap-southeast-7,CODEBUILD,ap-southeast-7
3.98.171.224/29,ca-central-1,CODEBUILD,ca-central-1
35.182.14.48/29,ca-central-1,CODEBUILD,ca-central-1
3.68.251.232/29,eu-central-1,CODEBUILD,eu-central-1
35.157.127.248/29,eu-central-1,CODEBUILD,eu-central-1
16.62.188.224/28,eu-central-2,CODEBUILD,eu-central-2
13.48.4.192/29,eu-north-1,CODEBUILD,eu-north-1
13.51.253.80/29,eu-north-1,CODEBUILD,eu-north-1
15.160.55.112/29,eu-south-1,CODEBUILD,eu-south-1
15.161.192.240/28,eu-south-1,CODEBUILD,eu-south-1
18.100.209.192/28,eu-south-2,CODEBUILD,eu-south-2
3.251.148.120/29,eu-west-1,CODEBUILD,eu-west-1
34.250.63.248/29,eu-west-1,CODEBUILD,eu-west-1
18.169.230.200/29,eu-west-2,CODEBUILD,eu-west-2
35.176.92.32/29,eu-west-2,CODEBUILD,eu-west-2
13.36.84.112/29,eu-west-3,CODEBUILD,eu-west-3
52.47.73.72/29,eu-west-3,CODEBUILD,eu-west-3
51.16.103.16/28,il-central-1,CODEBUILD,il-central-1
3.28.255.80/28,me-central-1,CODEBUILD,me-central-1
15.184.184.96/29,me-south-1,CODEBUILD,me-south-1
15.228.126.200/29,sa-east-1,CODEBUILD,sa-east-1
18.231.194.8/29,sa-east-1,CODEBUILD,sa-east-1
34.228.4.208/28,us-east-1,CODEBUILD,us-east-1
44.192.245.160/28,us-east-1,CODEBUILD,us-east-1
44.192.255.128/28,us-east-1,CODEBUILD,us-east-1
3.143.206.104/29,us-east-2,CODEBUILD,us-east-2
52.15.247.208/29,us-east-2,CODEBUILD,us-east-2
13.56.32.200/29,us-west-1,CODEBUILD,us-west-1
3.101.177.48/29,us-west-1,CODEBUILD,us-west-1
35.82.136.192/29,us-west-2,CODEBUILD,us-west-2
35.83.248.40/29,us-west-2,CODEBUILD,us-west-2
44.242.161.24/29,us-west-2,CODEBUILD,us-west-2
52.43.76.88/29,us-west-2,CODEBUILD,us-west-2
