dest_ip,metadata_region,metadata_service,metadata_network_border_group
15.177.100.0/24,ca-west-1,ROUTE53_HEALTHCHECKS_PUBLISHING,ca-west-1
15.177.83.0/24,ap-southeast-2,ROUTE53_HEALTHCHECKS_PUBLISHING,ap-southeast-2
15.177.82.0/24,ap-southeast-1,ROUTE53_HEALTHCHECKS_PUBLISHING,ap-southeast-1
15.177.94.0/24,ap-south-2,ROUTE53_HEALTHCHECKS_PUBLISHING,ap-south-2
15.177.76.0/24,ap-northeast-2,ROUTE53_HEALTHCHECKS_PUBLISHING,ap-northeast-2
15.177.105.0/24,ap-southeast-6,ROUTE53_HEALTHCHECKS_PUBLISHING,ap-southeast-6
15.177.102.0/24,mx-central-1,ROUTE53_HEALTHCHECKS_PUBLISHING,mx-central-1
15.177.99.0/24,il-central-1,ROUTE53_HEALTHCHECKS_PUBLISHING,il-central-1
15.177.86.0/24,ap-east-1,ROUTE53_HEALTHCHECKS_PUBLISHING,ap-east-1
15.177.95.0/24,ap-southeast-5,ROUTE53_HEALTHCHECKS_PUBLISHING,ap-southeast-5
15.177.89.0/24,eu-west-1,ROUTE53_HEALTHCHECKS_PUBLISHING,eu-west-1
15.177.77.0/24,ap-northeast-3,ROUTE53_HEALTHCHECKS_PUBLISHING,ap-northeast-3
15.177.90.0/24,eu-south-1,ROUTE53_HEALTHCHECKS_PUBLISHING,eu-south-1
15.177.79.0/24,ap-northeast-1,ROUTE53_HEALTHCHECKS_PUBLISHING,ap-northeast-1
15.177.66.0/23,us-east-2,ROUTE53_HEALTHCHECKS_PUBLISHING,us-east-2
15.177.104.0/24,ap-east-2,ROUTE53_HEALTHCHECKS_PUBLISHING,ap-east-2
15.177.107.0/24,sa-west-1,ROUTE53_HEALTHCHECKS_PUBLISHING,sa-west-1
15.177.73.0/24,ap-south-1,ROUTE53_HEALTHCHECKS_PUBLISHING,ap-south-1
15.177.103.0/24,ap-southeast-7,ROUTE53_HEALTHCHECKS_PUBLISHING,ap-southeast-7
15.177.88.0/24,sa-east-1,ROUTE53_HEALTHCHECKS_PUBLISHING,sa-east-1
15.177.70.0/23,sa-east-1,ROUTE53_HEALTHCHECKS_PUBLISHING,sa-east-1
15.177.97.0/24,eu-south-2,ROUTE53_HEALTHCHECKS_PUBLISHING,eu-south-2
15.177.64.0/23,us-east-1,ROUTE53_HEALTHCHECKS_PUBLISHING,us-east-1
15.177.106.0/24,me-west-1,ROUTE53_HEALTHCHECKS_PUBLISHING,me-west-1
15.177.72.0/24,eu-north-1,ROUTE53_HEALTHCHECKS_PUBLISHING,eu-north-1
15.177.78.0/24,eu-west-2,ROUTE53_HEALTHCHECKS_PUBLISHING,eu-west-2
15.177.75.0/24,eu-west-1,ROUTE53_HEALTHCHECKS_PUBLISHING,eu-west-1
15.177.81.0/24,us-west-1,ROUTE53_HEALTHCHECKS_PUBLISHING,us-west-1
15.177.84.0/24,ca-central-1,ROUTE53_HEALTHCHECKS_PUBLISHING,ca-central-1
15.177.98.0/24,eu-central-2,ROUTE53_HEALTHCHECKS_PUBLISHING,eu-central-2
15.177.80.0/24,us-west-2,ROUTE53_HEALTHCHECKS_PUBLISHING,us-west-2
15.177.74.0/24,eu-west-3,ROUTE53_HEALTHCHECKS_PUBLISHING,eu-west-3
15.177.96.0/24,ap-southeast-4,ROUTE53_HEALTHCHECKS_PUBLISHING,ap-southeast-4
15.177.87.0/24,me-south-1,ROUTE53_HEALTHCHECKS_PUBLISHING,me-south-1
15.177.85.0/24,ap-east-1,ROUTE53_HEALTHCHECKS_PUBLISHING,ap-east-1
15.177.91.0/24,af-south-1,ROUTE53_HEALTHCHECKS_PUBLISHING,af-south-1
15.177.93.0/24,me-central-1,ROUTE53_HEALTHCHECKS_PUBLISHING,me-central-1
15.177.92.0/24,ap-southeast-3,ROUTE53_HEALTHCHECKS_PUBLISHING,ap-southeast-3
15.177.68.0/23,eu-central-1,ROUTE53_HEALTHCHECKS_PUBLISHING,eu-central-1
