dest_ip,metadata_region,metadata_service,metadata_network_border_group
18.99.75.128/25,ap-northeast-1,AURORA_DSQL,ap-northeast-1
18.98.132.128/25,ap-northeast-2,AURORA_DSQL,ap-northeast-2
18.96.17.0/25,ap-northeast-3,AURORA_DSQL,ap-northeast-3
18.99.193.0/25,ap-southeast-4,AURORA_DSQL,ap-southeast-4
18.96.39.128/25,eu-central-1,AURORA_DSQL,eu-central-1
18.97.198.128/25,eu-west-1,AURORA_DSQL,eu-west-1
18.98.164.0/25,eu-west-2,AURORA_DSQL,eu-west-2
18.98.66.128/25,eu-west-3,AURORA_DSQL,eu-west-3
18.97.33.128/25,us-east-1,AURORA_DSQL,us-east-1
18.97.139.128/25,us-east-2,AURORA_DSQL,us-east-2
18.98.20.128/25,us-west-2,AURORA_DSQL,us-west-2
