dest_ip,metadata_region,metadata_service,metadata_network_border_group
130.176.88.0/21,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
54.239.134.0/23,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
52.82.134.0/23,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
130.176.86.0/23,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
130.176.140.0/22,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
130.176.0.0/18,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
54.239.204.0/22,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
130.176.160.0/19,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
70.132.0.0/18,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
15.158.0.0/16,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
130.176.136.0/23,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
54.239.170.0/23,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
130.176.96.0/19,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
54.182.184.0/22,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
204.246.166.0/24,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
130.176.64.0/21,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
54.182.172.0/22,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
205.251.218.0/24,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
130.176.144.0/20,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
54.182.176.0/21,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
130.176.78.0/23,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
54.182.248.0/22,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
64.252.128.0/18,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
54.182.154.0/23,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
64.252.64.0/18,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
54.182.144.0/21,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
54.182.224.0/21,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
130.176.128.0/21,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
52.46.0.0/18,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
3.172.64.0/18,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
52.82.128.0/23,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
18.68.0.0/16,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
54.182.156.0/22,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
54.182.160.0/21,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
54.182.240.0/21,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
130.176.192.0/19,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
130.176.76.0/24,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
54.239.208.0/21,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
54.182.188.0/23,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
3.172.0.0/18,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
130.176.80.0/22,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
54.182.128.0/20,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
130.176.72.0/22,GLOBAL,CLOUDFRONT_ORIGIN_FACING,GLOBAL
13.124.199.0/24,ap-northeast-2,CLOUDFRONT_ORIGIN_FACING,ap-northeast-2
3.29.57.0/26,me-central-1,CLOUDFRONT_ORIGIN_FACING,me-central-1
