dest_ip,metadata_region,metadata_service,metadata_network_border_group
15.193.3.0/24,ap-southeast-2,AMAZON_CONNECT,ap-southeast-2
15.193.11.0/24,ap-northeast-3,AMAZON_CONNECT,ap-northeast-3
15.193.2.0/24,ap-southeast-1,AMAZON_CONNECT,ap-southeast-1
15.193.7.0/24,us-west-2,AMAZON_CONNECT,us-west-2
15.193.5.0/24,eu-west-2,AMAZON_CONNECT,eu-west-2
15.193.6.0/24,us-east-1,AMAZON_CONNECT,us-east-1
15.193.9.0/24,ap-northeast-2,AMAZON_CONNECT,ap-northeast-2
15.193.4.0/24,eu-central-1,AMAZON_CONNECT,eu-central-1
15.193.0.0/24,ap-south-1,AMAZON_CONNECT,ap-south-1
15.193.1.0/24,ap-northeast-1,AMAZON_CONNECT,ap-northeast-1
15.193.10.0/24,af-south-1,AMAZON_CONNECT,af-south-1
15.193.8.0/24,ca-central-1,AMAZON_CONNECT,ca-central-1
15.193.0.0/19,GLOBAL,AMAZON_CONNECT,GLOBAL
18.182.96.64/26,ap-northeast-1,AMAZON_CONNECT,ap-northeast-1
13.210.2.192/26,ap-southeast-2,AMAZON_CONNECT,ap-southeast-2
13.236.8.0/25,ap-southeast-2,AMAZON_CONNECT,ap-southeast-2
18.184.2.128/25,eu-central-1,AMAZON_CONNECT,eu-central-1
35.158.127.64/26,eu-central-1,AMAZON_CONNECT,eu-central-1
52.55.191.224/27,us-east-1,AMAZON_CONNECT,us-east-1
18.236.61.0/25,us-west-2,AMAZON_CONNECT,us-west-2
54.190.198.32/28,us-west-2,AMAZON_CONNECT,us-west-2
