dest_ip,metadata_region,metadata_service,metadata_network_border_group
52.94.24.0/23,eu-west-1,DYNAMODB,eu-west-1
52.94.26.0/23,eu-west-1,DYNAMODB,eu-west-1
52.119.240.0/21,eu-west-1,DYNAMODB,eu-west-1
35.71.72.0/22,eu-west-1,DYNAMODB,eu-west-1
52.94.5.0/24,eu-west-1,DYNAMODB,eu-west-1
13.248.70.0/24,ap-northeast-1,DYNAMODB,ap-northeast-1
35.71.114.0/24,ap-northeast-1,DYNAMODB,ap-northeast-1
52.94.8.0/24,ap-northeast-1,DYNAMODB,ap-northeast-1
13.248.69.0/24,ap-northeast-1,DYNAMODB,ap-northeast-1
54.222.64.0/24,cn-north-1,DYNAMODB,cn-north-1
54.222.57.0/24,cn-north-1,DYNAMODB,cn-north-1
35.71.115.0/24,us-gov-east-1,DYNAMODB,us-gov-east-1
52.94.22.0/24,us-gov-east-1,DYNAMODB,us-gov-east-1
13.248.72.0/24,il-central-1,DYNAMODB,il-central-1
35.71.122.0/24,il-central-1,DYNAMODB,il-central-1
35.71.99.0/24,me-south-1,DYNAMODB,me-south-1
52.119.249.0/24,me-south-1,DYNAMODB,me-south-1
52.119.252.0/22,us-west-2,DYNAMODB,us-west-2
52.94.10.0/24,us-west-2,DYNAMODB,us-west-2
35.71.64.0/22,us-west-2,DYNAMODB,us-west-2
52.94.28.0/23,us-west-2,DYNAMODB,us-west-2
52.94.6.0/24,ap-northeast-2,DYNAMODB,ap-northeast-2
35.71.109.0/24,ap-northeast-2,DYNAMODB,ap-northeast-2
13.248.67.0/24,ap-southeast-4,DYNAMODB,ap-southeast-4
35.71.112.0/24,ap-southeast-4,DYNAMODB,ap-southeast-4
13.248.75.0/24,ap-southeast-5,DYNAMODB,ap-southeast-5
35.71.124.0/24,ap-southeast-5,DYNAMODB,ap-southeast-5
3.218.180.0/22,us-east-1,DYNAMODB,us-east-1
52.119.232.0/21,us-east-1,DYNAMODB,us-east-1
35.71.68.0/22,us-east-1,DYNAMODB,us-east-1
52.119.224.0/21,us-east-1,DYNAMODB,us-east-1
52.94.0.0/22,us-east-1,DYNAMODB,us-east-1
13.248.77.0/24,ap-southeast-7,DYNAMODB,ap-southeast-7
35.71.126.0/24,ap-southeast-7,DYNAMODB,ap-southeast-7
52.94.12.0/24,us-west-1,DYNAMODB,us-west-1
35.71.117.0/24,us-west-1,DYNAMODB,us-west-1
13.248.79.0/24,ap-southeast-6,DYNAMODB,ap-southeast-6
35.71.94.0/24,eusc-de-east-1,DYNAMODB,eusc-de-east-1
51.0.28.0/24,eusc-de-east-1,DYNAMODB,eusc-de-east-1
35.71.118.0/24,ap-southeast-1,DYNAMODB,ap-southeast-1
52.94.11.0/24,ap-southeast-1,DYNAMODB,ap-southeast-1
35.71.119.0/24,ca-central-1,DYNAMODB,ca-central-1
52.94.14.0/24,ca-central-1,DYNAMODB,ca-central-1
