dest_ip,metadata_region,metadata_service,metadata_network_border_group
3.2.58.0/24,us-east-1,GLOBALACCELERATOR,us-east-1
13.248.117.0/24,ap-south-1,GLOBALACCELERATOR,ap-south-1
15.197.34.0/23,GLOBAL,GLOBALACCELERATOR,GLOBAL
15.197.36.0/22,GLOBAL,GLOBALACCELERATOR,GLOBAL
13.248.124.0/24,us-east-1,GLOBALACCELERATOR,us-east-1
13.248.119.0/24,eu-west-1,GLOBALACCELERATOR,eu-west-1
15.197.64.0/19,GLOBAL,GLOBALACCELERATOR,GLOBAL
99.83.97.0/24,us-west-1,GLOBALACCELERATOR,us-west-1
13.248.100.0/24,eu-north-1,GLOBALACCELERATOR,eu-north-1
13.248.113.0/24,eu-west-1,GLOBALACCELERATOR,eu-west-1
13.248.110.0/24,ap-southeast-3,GLOBALACCELERATOR,ap-southeast-3
15.197.32.0/23,GLOBAL,GLOBALACCELERATOR,GLOBAL
15.197.0.0/23,GLOBAL,GLOBALACCELERATOR,GLOBAL
3.2.53.0/24,eu-central-1,GLOBALACCELERATOR,eu-central-1
99.83.102.0/24,ap-southeast-1,GLOBALACCELERATOR,ap-southeast-1
99.82.172.0/24,us-west-1,GLOBALACCELERATOR,us-west-1
99.83.100.0/24,ap-northeast-3,GLOBALACCELERATOR,ap-northeast-3
15.197.16.0/23,GLOBAL,GLOBALACCELERATOR,GLOBAL
54.230.192.0/21,GLOBAL,GLOBALACCELERATOR,GLOBAL
13.248.105.0/24,ap-south-1,GLOBALACCELERATOR,ap-south-1
99.82.173.0/24,ap-southeast-1,GLOBALACCELERATOR,ap-southeast-1
99.82.166.0/24,us-east-1,GLOBALACCELERATOR,us-east-1
13.248.97.0/24,eu-central-1,GLOBALACCELERATOR,eu-central-1
15.197.8.0/22,GLOBAL,GLOBALACCELERATOR,GLOBAL
3.2.49.0/24,sa-east-1,GLOBALACCELERATOR,sa-east-1
15.197.18.0/23,GLOBAL,GLOBALACCELERATOR,GLOBAL
13.248.120.0/24,eu-west-2,GLOBALACCELERATOR,eu-west-2
35.71.128.0/17,GLOBAL,GLOBALACCELERATOR,GLOBAL
3.3.8.0/21,GLOBAL,GLOBALACCELERATOR,GLOBAL
13.248.127.0/24,ap-southeast-1,GLOBALACCELERATOR,ap-southeast-1
99.82.171.0/24,us-east-1,GLOBALACCELERATOR,us-east-1
13.248.96.0/24,eu-west-1,GLOBALACCELERATOR,eu-west-1
99.82.169.0/24,eu-west-2,GLOBALACCELERATOR,eu-west-2
52.223.0.0/17,GLOBAL,GLOBALACCELERATOR,GLOBAL
99.82.164.0/24,sa-east-1,GLOBALACCELERATOR,sa-east-1
15.197.4.0/22,GLOBAL,GLOBALACCELERATOR,GLOBAL
3.2.56.0/24,me-south-1,GLOBALACCELERATOR,me-south-1
99.77.188.0/24,GLOBAL,GLOBALACCELERATOR,GLOBAL
13.248.121.0/24,eu-west-1,GLOBALACCELERATOR,eu-west-1
99.82.170.0/24,ap-northeast-1,GLOBALACCELERATOR,ap-northeast-1
13.248.122.0/24,eu-north-1,GLOBALACCELERATOR,eu-north-1
99.82.174.0/24,ca-central-1,GLOBALACCELERATOR,ca-central-1
99.82.156.0/22,GLOBAL,GLOBALACCELERATOR,GLOBAL
3.2.54.0/24,us-west-1,GLOBALACCELERATOR,us-west-1
15.197.12.0/22,GLOBAL,GLOBALACCELERATOR,GLOBAL
13.248.118.0/24,eu-west-1,GLOBALACCELERATOR,eu-west-1
99.82.167.0/24,us-east-1,GLOBALACCELERATOR,us-east-1
13.248.114.0/24,sa-east-1,GLOBALACCELERATOR,sa-east-1
13.248.98.0/24,ap-northeast-1,GLOBALACCELERATOR,ap-northeast-1
99.82.161.0/24,eu-west-3,GLOBALACCELERATOR,eu-west-3
99.83.101.0/24,us-east-1,GLOBALACCELERATOR,us-east-1
99.82.175.0/24,us-east-1,GLOBALACCELERATOR,us-east-1
166.117.0.0/16,GLOBAL,GLOBALACCELERATOR,GLOBAL
159.248.133.0/24,ap-east-1,GLOBALACCELERATOR,ap-east-1
3.2.8.0/21,GLOBAL,GLOBALACCELERATOR,GLOBAL
3.2.4.0/23,GLOBAL,GLOBALACCELERATOR,GLOBAL
13.248.103.0/24,us-east-1,GLOBALACCELERATOR,us-east-1
15.197.28.0/23,GLOBAL,GLOBALACCELERATOR,GLOBAL
15.197.128.0/17,GLOBAL,GLOBALACCELERATOR,GLOBAL
3.3.6.0/23,GLOBAL,GLOBALACCELERATOR,GLOBAL
13.248.128.0/17,GLOBAL,GLOBALACCELERATOR,GLOBAL
99.83.98.0/24,us-west-1,GLOBALACCELERATOR,us-west-1
75.2.0.0/17,GLOBAL,GLOBALACCELERATOR,GLOBAL
99.83.104.0/24,ap-southeast-1,GLOBALACCELERATOR,ap-southeast-1
93.77.128.0/19,GLOBAL,GLOBALACCELERATOR,GLOBAL
99.82.160.0/24,ap-south-1,GLOBALACCELERATOR,ap-south-1
13.248.108.0/24,us-east-1,GLOBALACCELERATOR,us-east-1
99.77.190.0/24,GLOBAL,GLOBALACCELERATOR,GLOBAL
13.248.106.0/24,me-south-1,GLOBALACCELERATOR,me-south-1
13.248.99.0/24,us-west-1,GLOBALACCELERATOR,us-west-1
13.248.112.0/24,us-west-2,GLOBALACCELERATOR,us-west-2
15.197.2.0/24,GLOBAL,GLOBALACCELERATOR,GLOBAL
3.2.52.0/24,us-east-1,GLOBALACCELERATOR,us-east-1
3.2.48.0/24,eu-west-2,GLOBALACCELERATOR,eu-west-2
3.2.50.0/24,us-east-1,GLOBALACCELERATOR,us-east-1
99.83.128.0/17,GLOBAL,GLOBALACCELERATOR,GLOBAL
13.248.123.0/24,eu-central-1,GLOBALACCELERATOR,eu-central-1
3.2.59.0/24,eu-west-1,GLOBALACCELERATOR,eu-west-1
99.82.162.0/24,eu-west-1,GLOBALACCELERATOR,eu-west-1
13.248.125.0/24,ap-southeast-1,GLOBALACCELERATOR,ap-southeast-1
3.2.51.0/24,us-east-1,GLOBALACCELERATOR,us-east-1
76.223.0.0/17,GLOBAL,GLOBALACCELERATOR,GLOBAL
63.246.120.0/21,GLOBAL,GLOBALACCELERATOR,GLOBAL
99.83.99.0/24,eu-central-1,GLOBALACCELERATOR,eu-central-1
13.248.109.0/24,ap-southeast-2,GLOBALACCELERATOR,ap-southeast-2
13.248.111.0/24,us-east-2,GLOBALACCELERATOR,us-east-2
99.82.165.0/24,us-east-1,GLOBALACCELERATOR,us-east-1
192.157.72.0/23,GLOBAL,GLOBALACCELERATOR,GLOBAL
3.3.0.0/23,GLOBAL,GLOBALACCELERATOR,GLOBAL
3.2.57.0/24,eu-west-1,GLOBALACCELERATOR,eu-west-1
76.223.169.0/24,GLOBAL,GLOBALACCELERATOR,GLOBAL
99.83.96.0/24,ap-east-1,GLOBALACCELERATOR,ap-east-1
99.82.163.0/24,eu-central-1,GLOBALACCELERATOR,eu-central-1
13.248.115.0/24,ap-northeast-1,GLOBALACCELERATOR,ap-northeast-1
15.197.3.0/24,GLOBAL,GLOBALACCELERATOR,GLOBAL
13.248.104.0/24,sa-east-1,GLOBALACCELERATOR,sa-east-1
99.82.168.0/24,ap-northeast-2,GLOBALACCELERATOR,ap-northeast-2
13.248.126.0/24,ca-central-1,GLOBALACCELERATOR,ca-central-1
3.2.55.0/24,us-west-2,GLOBALACCELERATOR,us-west-2
13.248.116.0/24,us-east-1,GLOBALACCELERATOR,us-east-1
3.33.128.0/17,GLOBAL,GLOBALACCELERATOR,GLOBAL
13.248.101.0/24,eu-west-2,GLOBALACCELERATOR,eu-west-2
99.83.103.0/24,eu-central-1,GLOBALACCELERATOR,eu-central-1
15.197.24.0/22,GLOBAL,GLOBALACCELERATOR,GLOBAL
99.77.189.0/24,GLOBAL,GLOBALACCELERATOR,GLOBAL
13.248.107.0/24,ap-southeast-1,GLOBALACCELERATOR,ap-southeast-1
15.197.20.0/22,GLOBAL,GLOBALACCELERATOR,GLOBAL
13.248.102.0/24,ap-southeast-2,GLOBALACCELERATOR,ap-southeast-2
15.197.30.0/23,GLOBAL,GLOBALACCELERATOR,GLOBAL
