permission_name,application_id,delegated_id,application_text,delegated_text,application_description,delegated_description,application_AdminConsentRequired,delegated_AdminConsentRequired,metadata_is_critical
AuthenticationContext.ReadWrite.All,a88eef72-fed0-4bf7-a2a9-f19df33f8b83,ba6d575a-1344-4516-b777-1404f5593057,Read and write all authentication context information,Read and write all authentication context information,Allows the app to read and update the authentication context information in your organization without a signed-in user.,Allows the app to read and update all authentication context information in your organization on behalf of the signed-in user.,Yes,Yes,no
BackupRestore-Configuration.Read.All,5fbb5982-3230-4882-93c0-2167523ce0c2,444ed4b6-0554-4dc6-8e9c-3f9a34ee3ff6,Read all backup configuration policies,Read backup configuration policies,"Allows the app to read all backup configurations, and lists of Microsoft 365 service resources to be backed up, without a signed-in user.","Allows the app to read the backup configuration, and list of Microsoft 365 service resources to be backed up, on behalf of the signed in user.",Yes,Yes,no
BackupRestore-Configuration.ReadWrite.All,18133149-5489-40ac-80f0-4b6fa85f6cdc,a0244d16-171c-4496-8ffb-7b9b6954d339,Read and edit all backup configuration policies,Read and edit backup configuration policies,"Allows the app to read and update the backup configuration, and list of Microsoft 365 service resources to be backed up, without a signed-in user.","Allows the app to read and update the backup configuration, and list of Microsoft 365 service resources to be backed up, on behalf of the signed in user.",Yes,Yes,no
BackupRestore-Monitor.Read.All,ecae8511-f2d7-4be4-bdbf-91f244d45986,b4e98de1-4600-4e90-b5e1-7c1dfef04e5c,"Read all monitoring, quota and billing information for the tenant","Read monitoring, quota and billing information for the tenant","Allows the app to monitor all backup and restore jobs, view quota usage and billing details, without a signed-in user.","Allows the app to monitor backup and restore jobs, view quota usage and billing details, on behalf of the signed in user.",Yes,Yes,no
BackupRestore-Restore.Read.All,87853aa5-0372-4710-b34b-cef27bb7156e,94b36f78-434f-4904-8c08-421d9a9c1dc2,Read all restore sessions,Read restore sessions,"Allows the app to read all restore sessions, without a signed-in user.","Allows the app to read restore sessions, on behalf of the signed in user.",Yes,Yes,no
BackupRestore-Restore.ReadWrite.All,bebd0841-a3d8-4313-a51d-731112c8ee41,9f89e109-94b9-4c9b-b4fc-98cdaa54f574,Read restore all sessions and start restore sessions from backups,Read restore sessions and start restore sessions from backups,"Allows the app to search all backup snapshots for Microsoft 365 resources, and restore Microsoft 365 resources from a backed-up snapshot, without a signed-in user.","Allows the app to search the backup snapshots for Microsoft 365 resources, and restore Microsoft 365 resources from a backed-up snapshot, on behalf of the signed in user.",Yes,Yes,no
BackupRestore-Search.Read.All,f6135c51-c766-4be1-9638-ed90c2ed2443,2b24830f-f435-446f-ab5a-b1e70d9a2eb5,Search for metadata properties in all backup snapshots,Search for metadata properties in backup snapshots,"Allows the app to search all backup snapshots for Microsoft 365 resources, without a signed-in user.","Allows the app to search the backup snapshots for Microsoft 365 resources, on behalf of the signed in user.",Yes,Yes,no
BillingConfiguration.ReadWrite.All,9e8be751-7eee-4c09-bcfd-d64f6b087fd8,2bf6d319-dfca-4c22-9879-f88dcfaee6be,Read and write application billing configuration,Read and write application billing configuration,Allows the app to read and write the billing configuration on all applications without a signed-in user.,Allows the app to read and write the billing configuration on all applications on behalf of the signed-in user.,Yes,Yes,no
BitlockerKey.Read.All,-,b27a61ec-b99c-4d6a-b126-c4375d08ae30,-,Read BitLocker keys,-,"Allows the app to read BitLocker keys on behalf of the signed-in user, for their owned devices. Allows read of the recovery key.",-,Yes,no
BitlockerKey.ReadBasic.All,-,5a107bfc-4f00-4e1a-b67e-66451267bc68,-,Read BitLocker keys basic information,-,"Allows the app to read basic BitLocker key properties on behalf of the signed-in user, for their owned devices. Does not allow read of the recovery key itself.",-,Yes,no
