permission_name,application_id,delegated_id,application_text,delegated_text,application_description,delegated_description,application_AdminConsentRequired,delegated_AdminConsentRequired,metadata_is_critical
Chat.Read.WhereInstalled,1c1b4c8e-3cc7-4c58-8470-9b92c9d5848b,-,Read all chat messages for chats where the associated Teams application is installed.,-,"Allows the app to read all one-to-one or group chat messages in Microsoft Teams for chats where the associated Teams application is installed, without a signed-in user.",-,Yes,-,no
Chat.ReadBasic,-,9547fcb5-d03f-419d-9948-5928bbf71b0f,-,Read names and members of user chat threads,-,"Allows an app to read the members and descriptions of one-to-one and group chat threads, on behalf of the signed-in user.",-,No,no
Chat.ReadBasic.All,b2e060da-3baf-4687-9611-f4ebc0f0cbde,-,Read names and members of all chat threads,-,"Read names and members of all one-to-one and group chats in Microsoft Teams, without a signed-in user.",-,Yes,-,no
Chat.ReadBasic.WhereInstalled,818ba5bd-5b3e-4fe0-bbe6-aa4686669073,-,Read names and members of all chat threads where the associated Teams application is installed.,-,"Allows the app to read names and members of all one-to-one and group chats in Microsoft Teams where the associated Teams application is installed, without a signed-in user.",-,Yes,-,no
Chat.ReadWrite,-,9ff7295e-131b-4d94-90e1-69fde507ac11,-,Read and write user chat messages,-,"Allows an app to read and write 1 on 1 or group chats threads, on behalf of the signed-in user.",-,No,no
Chat.ReadWrite.All,294ce7c9-31ba-490a-ad7d-97a7d075e4ed,7e9a077b-3711-42b9-b7cb-5fa5f3f7fea7,Read and write all chat messages,Read and write all chat messages,"Allows an app to read and write all chat messages in Microsoft Teams, without a signed-in user.","Allows an app to read and write all one-to-one and group chats in Microsoft Teams, without a signed-in user. Does not allow sending messages.",Yes,Yes,no
Chat.ReadWrite.WhereInstalled,ad73ce80-f3cd-40ce-b325-df12c33df713,-,Read and write all chat messages for chats where the associated Teams application is installed.,-,"Allows the app to read and write all chat messages in Microsoft Teams for chats where the associated Teams application is installed, without a signed-in user.",-,Yes,-,no
Chat.UpdatePolicyViolation.All,7e847308-e030-4183-9899-5235d7270f58,-,Flag chat messages for violating policy,-,Allows the app to update Microsoft Teams 1-to-1 or group chat messages by patching a set of Data Loss Prevention (DLP) policy violation properties to handle the output of DLP processing.,-,Yes,-,no
ChatMember.Read,-,c5a9e2b1-faf6-41d4-8875-d381aa549b24,-,Read the members of chats,-,"Read the members of chats, on behalf of the signed-in user.",-,Yes,no
ChatMember.Read.All,a3410be2-8e48-4f32-8454-c29a7465209d,-,Read the members of all chats,-,"Read the members of all chats, without a signed-in user.",-,Yes,-,no
ChatMember.Read.WhereInstalled,93e7c9e4-54c5-4a41-b796-f2a5adaacda7,-,Read the members of all chats where the associated Teams application is installed.,-,"Allows the app to read the members of all chats where the associated Teams application is installed, without a signed-in user.",-,Yes,-,no
ChatMember.ReadWrite,-,dea13482-7ea6-488f-8b98-eb5bbecf033d,-,Add and remove members from chats,-,"Add and remove members from chats, on behalf of the signed-in user.",-,Yes,no
ChatMember.ReadWrite.All,57257249-34ce-4810-a8a2-a03adf0c5693,-,Add and remove members from all chats,-,"Add and remove members from all chats, without a signed-in user.",-,Yes,-,no
ChatMember.ReadWrite.WhereInstalled,e32c2cd9-0124-4e44-88fc-772cd98afbdb,-,Add and remove members from all chats where the associated Teams application is installed.,-,"Allows the app to add and remove members from all chats where the associated Teams application is installed, without a signed-in user.",-,Yes,-,no
ChatMessage.Read,-,cdcdac3a-fd45-410d-83ef-554db620e5c7,-,Read user chat messages,-,"Allows an app to read one-to-one and group chat messages, on behalf of the signed-in user.",-,No,no
ChatMessage.Read.All,b9bb2381-47a4-46cd-aafb-00cb12f68504,-,Read all chat messages,-,"Allows the app to read all one-to-one and group chats messages in Microsoft Teams, without a signed-in user.",-,Yes,-,no
ChatMessage.Send,-,116b7235-7cc6-461e-b163-8e55691d839e,-,Send user chat messages,-,"Allows an app to send one-to-one and group chat messages in Microsoft Teams, on behalf of the signed-in user.",-,No,no
CloudApp-Discovery.Read.All,64a59178-dad3-4673-89db-84fdcd622fec,ad46d60e-1027-4b75-af88-7c14ccf43a19,Read all discovered cloud applications data,Read discovered cloud applications data,"Allows the app to read all details of discovered cloud apps in the organization, without a signed-in user.","Allows the app to read details of discovered cloud apps in the organization, on behalf of the signed in user.",Yes,No,no
CloudPC.Read.All,a9e09520-8ed4-4cde-838e-4fdea192c227,5252ec4e-fd40-4d92-8c68-89dd1d3c6110,Read Cloud PCs,Read Cloud PCs,"Allows the app to read the properties of Cloud PCs, without a signed-in user.",Allows the app to read the properties of Cloud PCs on behalf of the signed-in user.,Yes,No,no
CloudPC.ReadWrite.All,3b4349e1-8cf5-45a3-95b7-69d1751d3e6a,9d77138f-f0e2-47ba-ab33-cd246c8b79d1,Read and write Cloud PCs,Read and write Cloud PCs,"Allows the app to read and write the properties of Cloud PCs, without a signed-in user.",Allows the app to read and write the properties of Cloud PCs on behalf of the signed-in user.,Yes,Yes,no
Community.Read.All,407f0cce-3212-441f-9f55-3bc91342cf86,12ae2e92-14b5-47b2-babb-4e890bbedc0a,Read all Viva Engage communities,Read all Viva Engage communities,"Allows the app to list Viva Engage communities, and to read their properties without a signed-in user.","Allows the app to list Viva Engage communities, and to read their properties on behalf of the signed-in user.",Yes,Yes,no
