http_user_agent,metadata_description,metadata_tool,metadata_category,metadata_link,metadata_priority,metadata_fp_risk,metadata_severity,metadata_usage,metadata_flow_direction
AnyDesk/*,Anydesk application,anydesk,RMM,,high,medium,high,Hunting,network flow direction internal --> external
AnyDesk,Anydesk application,anydesk,RMM,,high,medium,high,Hunting,network flow direction internal --> external
