tld,dest_nt_domain,metadata_link
aol,*.aol,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
apartments,*.apartments,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
app,*.app,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
apple,*.apple,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
aq,*.aq,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
aquarelle,*.aquarelle,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
ar,*.ar,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
arab,*.arab,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
aramco,*.aramco,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
archi,*.archi,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
army,*.army,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
arpa,*.arpa,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
art,*.art,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
arte,*.arte,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
as,*.as,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
asda,*.asda,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
asia,*.asia,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
associates,*.associates,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
at,*.at,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
athleta,*.athleta,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
attorney,*.attorney,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
au,*.au,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
auction,*.auction,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
audi,*.audi,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
audible,*.audible,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
audio,*.audio,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
auspost,*.auspost,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
author,*.author,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
auto,*.auto,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
autos,*.autos,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
aw,*.aw,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
aws,*.aws,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
ax,*.ax,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
axa,*.axa,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
