metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1776442591.4802,elite,4531.6243832931,1697010780.1209,AS4766 Korea Telecom,KIXS-AS-KR,Ansan-si,Asia,AS,South Korea,KR,,False,Korea Telecom,37.2852,126.8251,False,,True,Gyeonggi-do,success,Asia/Seoul,155,1775997343,1776442591.4802,43295,socks4,121.139.218.165:43295,True,1340.1472568512,33150,561374,5.5758892828549,121.139.218.165
True,1776441231.6737,elite,56.35494021727,1769122346.5955,AS24940 Hetzner Online GmbH,HETZNER-AS,Nuremberg,Europe,EU,Germany,DE,,True,Hetzner Online GmbH,49.4527,11.0783,False,,True,Bavaria,success,Europe/Berlin,90403,1776269224,1776442590.7391,80,http,23.88.88.102:80,False,30.178785324097,21526,573,97.407122494231,23.88.88.102
True,1776419436.3307,anonymous,1335.5908306245,1756034724.8045,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,TTSSB-MY,Kota Kinabalu,Asia,AS,Malaysia,MY,,False,ADSL Streamyx Telekom Malaysia,5.9749,116.072,False,,True,Sabah,success,Asia/Kuching,88600,1776156418,1776442589.7916,80,http,219.93.101.62:80,False,551.34773254395,264551,33830,88.662146718457,219.93.101.62
True,1776442584.8981,elite,4310.0590246413,1776079309.1494,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Pensacola,North America,,United States,US,,False,Cox Communications Inc.,30.4077,-87.219,False,Cox Communications,True,Florida,success,America/Chicago,32516,1776078146,1776442589.4486,4145,socks4,184.181.178.33:4145,True,8192.1932697296,6585,774,89.482266612311,184.181.178.33
True,1776442588.7805,elite,15216.272501235,1776260747.5235,"AS7203 Leaseweb USA, Inc.",LEASEWEB-USA-SFO,Houston,North America,,United States,US,,True,"Leaseweb USA, Inc.",29.7539,-95.359,False,Ipxo,True,Texas,success,America/Chicago,77002,1776259596,1776442588.7805,6940,socks4,179.61.245.161:6940,True,720.46995162964,47,442,9.6114519427403,179.61.245.161
True,1776440661.8284,elite,2421.5039995165,1776410860.4366,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,Shizishan,Asia,AS,China,CN,,False,Chinanet,30.5454,114.342,False,Chinanet HB,True,Hubei,success,Asia/Shanghai,,1776406514,1776442588.4472,9501,socks4,111.177.48.18:9501,True,3128.1690597534,867,14,98.410896708286,111.177.48.18
True,1776442588.4344,elite,3347.3429075498,1775793808.8929,"AS210976 Timeweb, LLP",TWC-EU,Amsterdam,Europe,EU,The Netherlands,NL,,False,"Timeweb, LLP",52.3759,4.8975,False,"JSC ""TIMEWEB""",False,North Holland,success,Europe/Amsterdam,1012,1776398685,1776442588.4344,3128,http,147.45.166.46:3128,False,54.786443710327,2434,9378,20.60616322384,147.45.166.46
True,1776442588.3821,elite,8465.4956650488,1776088033.382,AS135341 Orange Communication,ORANGE2-AS-AP,Chittagong,Asia,AS,Bangladesh,BD,Kotwali,False,Md Kamrul Islam,22.3305,91.8177,False,,True,Chittagong,success,Asia/Dhaka,4000,1776083826,1776442588.3821,2025,socks5,103.151.74.5:2025,True,8331.9442272186,97,231,29.573170731707,103.151.74.5
True,1776442588.2599,elite,8680.0279716651,1776088004.8014,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,Hangzhou,Asia,AS,China,CN,,False,Chinanet,30.0464,119.954,False,Zhejiang Guangda Bank,True,Zhejiang,success,Asia/Shanghai,310000,1776083803,1776442588.2599,7302,socks5,122.224.123.162:7302,True,5302.5422096252,24,195,10.958904109589,122.224.123.162
True,1776441377.9562,elite,199.26372461674,1730006221.6434,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,North Bergen,North America,,United States,US,,True,"DigitalOcean, LLC",40.7964,-74.0203,False,"DigitalOcean, LLC",True,New Jersey,success,America/New_York,07047,1776214967,1776442587.6146,3128,http,142.93.202.130:3128,False,164.5143032074,407904,217645,65.207361853348,142.93.202.130
