extension_id,publisher_id,extension_name,metadata_comment,metadata_severity,metadata_category,metadata_source,metadata_reference,metadata_status,removal_date,source_reason,last_updated_utc,merged_sources
0xS1rx58D3V.ChatGPT-B0T,0xS1rx58D3V,ChatGPT-B0T,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-03-18,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
498-00.cppformat,498-00,cppformat,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-10-02,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
498-00.cppplayground,498-00,cppplayground,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-10-02,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
498-00.pythonformat,498-00,pythonformat,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-10-02,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
7finney.ethcode,7finney,ethcode,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-06-26,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
aadarkcode.one-dark-material,aadarkcode,one-dark-material,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,,,2026-05-06T13:57:50+00:00,static_list
AARCarti.darkai-ai-pro,AARCarti,darkai-ai-pro,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-12-14,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
AARCarti.fortex-ai-pro,AARCarti,fortex-ai-pro,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-12-14,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
ab-498.cppformat,ab-498,cppformat,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-06-24,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
ab-498.cppplayground,ab-498,cppplayground,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-06-24,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
