rule_name,metadata_tool,metadata_tool_type,metadata_tool_category,metadata_severity,metadata_link,metadata_detection_type,metadata_reference,metadata_comment
SH Remote Access Service,SimpleHelp,greyware_tool,RMM,high,https://simple-help.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/SimpleHelp.csv,
SH Remote Access Service Launcher,SimpleHelp,greyware_tool,RMM,high,https://simple-help.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/SimpleHelp.csv,
SH Remote Access Service Updater,SimpleHelp,greyware_tool,RMM,high,https://simple-help.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/SimpleHelp.csv,
