service_name,service_path,metadata_tool_name,metadata_tool_category,metadata_tool_type,metadata_severity,metadata_comment,metadata_reference
ShTemporaryService1*,,SimpleHelp,RMM,greyware_tool,high,SimpleHelp RMM https://simple-help.com,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/SimpleHelp.csv
Remote Access Service,*\SimpleService.exe,SimpleHelp,RMM,greyware_tool,medium,SimpleHelp RMM https://simple-help.com,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/SimpleHelp.csv
SimpleHelp Server Service,,SimpleHelp,RMM,greyware_tool,medium,SimpleHelp RMM https://simple-help.com,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/SimpleHelp.csv
SimpleHelp Server,*\SimpleService.exe,SimpleHelp,RMM,greyware_tool,medium,SimpleHelp RMM https://simple-help.com,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/SimpleHelp.csv
