role,arn,metadata_is_privileged,metadata_comment
"AlexaForBusinessNetworkProfileServicePolicy","arn:aws:iam::aws:policy/aws-service-role/AlexaForBusinessNetworkProfileServicePolicy",,
"AWSCloudHSMRole","arn:aws:iam::aws:policy/service-role/AWSCloudHSMRole",,
"AWSEnhancedClassicNetworkingMangementPolicy","arn:aws:iam::aws:policy/aws-service-role/AWSEnhancedClassicNetworkingMangementPolicy",,
"AmazonInspectorFullAccess","arn:aws:iam::aws:policy/AmazonInspectorFullAccess",,
"AmazonElastiCacheFullAccess","arn:aws:iam::aws:policy/AmazonElastiCacheFullAccess",,
"AWSAgentlessDiscoveryService","arn:aws:iam::aws:policy/AWSAgentlessDiscoveryService",,
"AWSXrayWriteOnlyAccess","arn:aws:iam::aws:policy/AWSXrayWriteOnlyAccess",,
"AWSPriceListServiceFullAccess","arn:aws:iam::aws:policy/AWSPriceListServiceFullAccess",,
"AWSKeyManagementServiceCustomKeyStoresServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSKeyManagementServiceCustomKeyStoresServiceRolePolicy",,
"AutoScalingReadOnlyAccess","arn:aws:iam::aws:policy/AutoScalingReadOnlyAccess",,
"AmazonForecastFullAccess","arn:aws:iam::aws:policy/AmazonForecastFullAccess",,
"AmazonWorkLinkReadOnly","arn:aws:iam::aws:policy/AmazonWorkLinkReadOnly",,
"TranslateFullAccess","arn:aws:iam::aws:policy/TranslateFullAccess",,
"AutoScalingFullAccess","arn:aws:iam::aws:policy/AutoScalingFullAccess",,
"AmazonEC2RoleforAWSCodeDeploy","arn:aws:iam::aws:policy/service-role/AmazonEC2RoleforAWSCodeDeploy",,
"AWSFMMemberReadOnlyAccess","arn:aws:iam::aws:policy/AWSFMMemberReadOnlyAccess",,
"AmazonElasticMapReduceEditorsRole","arn:aws:iam::aws:policy/service-role/AmazonElasticMapReduceEditorsRole",,
"AmazonEKSClusterPolicy","arn:aws:iam::aws:policy/AmazonEKSClusterPolicy",,
"AmazonEKSWorkerNodePolicy","arn:aws:iam::aws:policy/AmazonEKSWorkerNodePolicy",,
"AWSMobileHub_ReadOnly","arn:aws:iam::aws:policy/AWSMobileHub_ReadOnly",,
"CloudWatchEventsBuiltInTargetExecutionAccess","arn:aws:iam::aws:policy/service-role/CloudWatchEventsBuiltInTargetExecutionAccess",,
"AutoScalingServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AutoScalingServiceRolePolicy",,
"AmazonElasticTranscoder_FullAccess","arn:aws:iam::aws:policy/AmazonElasticTranscoder_FullAccess",,
"AmazonCloudDirectoryReadOnlyAccess","arn:aws:iam::aws:policy/AmazonCloudDirectoryReadOnlyAccess",,
"CloudWatchAgentAdminPolicy","arn:aws:iam::aws:policy/CloudWatchAgentAdminPolicy",,
"AWSOpsWorksFullAccess","arn:aws:iam::aws:policy/AWSOpsWorksFullAccess",,
"AWSOpsWorksCMInstanceProfileRole","arn:aws:iam::aws:policy/AWSOpsWorksCMInstanceProfileRole",,
"AWSBatchServiceEventTargetRole","arn:aws:iam::aws:policy/service-role/AWSBatchServiceEventTargetRole",,
"AWSCodePipelineApproverAccess","arn:aws:iam::aws:policy/AWSCodePipelineApproverAccess",,
"AWSApplicationDiscoveryAgentAccess","arn:aws:iam::aws:policy/AWSApplicationDiscoveryAgentAccess",,
"ViewOnlyAccess","arn:aws:iam::aws:policy/job-function/ViewOnlyAccess",,
"AmazonElasticMapReduceRole","arn:aws:iam::aws:policy/service-role/AmazonElasticMapReduceRole",,
"ElasticLoadBalancingFullAccess","arn:aws:iam::aws:policy/ElasticLoadBalancingFullAccess",,
"AmazonRoute53DomainsReadOnlyAccess","arn:aws:iam::aws:policy/AmazonRoute53DomainsReadOnlyAccess",,
"AmazonSSMAutomationApproverAccess","arn:aws:iam::aws:policy/AmazonSSMAutomationApproverAccess",,
"AWSOpsWorksRole","arn:aws:iam::aws:policy/service-role/AWSOpsWorksRole",,
"AWSSecurityHubReadOnlyAccess","arn:aws:iam::aws:policy/AWSSecurityHubReadOnlyAccess",,
"AWSConfigRoleForOrganizations","arn:aws:iam::aws:policy/service-role/AWSConfigRoleForOrganizations",,
"ApplicationAutoScalingForAmazonAppStreamAccess","arn:aws:iam::aws:policy/service-role/ApplicationAutoScalingForAmazonAppStreamAccess",,
"AmazonFSxFullAccess","arn:aws:iam::aws:policy/AmazonFSxFullAccess",,
"SimpleWorkflowFullAccess","arn:aws:iam::aws:policy/SimpleWorkflowFullAccess",,
"GreengrassOTAUpdateArtifactAccess","arn:aws:iam::aws:policy/service-role/GreengrassOTAUpdateArtifactAccess",,
"AmazonS3FullAccess","arn:aws:iam::aws:policy/AmazonS3FullAccess",,
"AWSStorageGatewayReadOnlyAccess","arn:aws:iam::aws:policy/AWSStorageGatewayReadOnlyAccess",,
"QuickSightAccessForS3StorageManagementAnalyticsReadOnly","arn:aws:iam::aws:policy/service-role/QuickSightAccessForS3StorageManagementAnalyticsReadOnly",,
"AmazonEC2ContainerRegistryReadOnly","arn:aws:iam::aws:policy/AmazonEC2ContainerRegistryReadOnly",,
"AWSRoboMakerFullAccess","arn:aws:iam::aws:policy/AWSRoboMakerFullAccess",,
"AmazonElasticMapReduceforEC2Role","arn:aws:iam::aws:policy/service-role/AmazonElasticMapReduceforEC2Role",,
"AmazonRedshiftReadOnlyAccess","arn:aws:iam::aws:policy/AmazonRedshiftReadOnlyAccess",,
"AmazonEC2ReadOnlyAccess","arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess",,
"CloudWatchAgentServerPolicy","arn:aws:iam::aws:policy/CloudWatchAgentServerPolicy",,
"AWSXrayReadOnlyAccess","arn:aws:iam::aws:policy/AWSXrayReadOnlyAccess",,
"AWSElasticBeanstalkEnhancedHealth","arn:aws:iam::aws:policy/service-role/AWSElasticBeanstalkEnhancedHealth",,
"WellArchitectedConsoleFullAccess","arn:aws:iam::aws:policy/WellArchitectedConsoleFullAccess",,
"AmazonElasticMapReduceReadOnlyAccess","arn:aws:iam::aws:policy/AmazonElasticMapReduceReadOnlyAccess",,
"AWSDirectoryServiceReadOnlyAccess","arn:aws:iam::aws:policy/AWSDirectoryServiceReadOnlyAccess",,
"AWSSSOMasterAccountAdministrator","arn:aws:iam::aws:policy/AWSSSOMasterAccountAdministrator",,
"AmazonGuardDutyServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonGuardDutyServiceRolePolicy",,
"AmazonVPCReadOnlyAccess","arn:aws:iam::aws:policy/AmazonVPCReadOnlyAccess",,
"AWSElasticBeanstalkServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSElasticBeanstalkServiceRolePolicy",,
"ServerMigrationServiceLaunchRole","arn:aws:iam::aws:policy/service-role/ServerMigrationServiceLaunchRole",,
"AWSCodeDeployRoleForECS","arn:aws:iam::aws:policy/AWSCodeDeployRoleForECS",,
"CloudWatchEventsReadOnlyAccess","arn:aws:iam::aws:policy/CloudWatchEventsReadOnlyAccess",,
"AWSLambdaReplicator","arn:aws:iam::aws:policy/aws-service-role/AWSLambdaReplicator",,
"AmazonAPIGatewayInvokeFullAccess","arn:aws:iam::aws:policy/AmazonAPIGatewayInvokeFullAccess",,
"AWSSSOServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSSSOServiceRolePolicy",,
"AWSLicenseManagerMasterAccountRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSLicenseManagerMasterAccountRolePolicy",,
