role,arn,metadata_is_privileged,metadata_comment
"AWSDataLifecycleManagerServiceRole","arn:aws:iam::aws:policy/service-role/AWSDataLifecycleManagerServiceRole",,
"AmazonS3ReadOnlyAccess","arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess",,
"AWSElasticBeanstalkFullAccess","arn:aws:iam::aws:policy/AWSElasticBeanstalkFullAccess",,
"AmazonWorkSpacesAdmin","arn:aws:iam::aws:policy/AmazonWorkSpacesAdmin",,
"AWSCodeDeployRole","arn:aws:iam::aws:policy/service-role/AWSCodeDeployRole",,
"AmazonSESFullAccess","arn:aws:iam::aws:policy/AmazonSESFullAccess",,
"CloudWatchLogsReadOnlyAccess","arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",,
"AmazonRDSBetaServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonRDSBetaServiceRolePolicy",,
"AmazonKinesisFirehoseReadOnlyAccess","arn:aws:iam::aws:policy/AmazonKinesisFirehoseReadOnlyAccess",,
"GlobalAcceleratorFullAccess","arn:aws:iam::aws:policy/GlobalAcceleratorFullAccess",,
"AmazonDynamoDBFullAccesswithDataPipeline","arn:aws:iam::aws:policy/AmazonDynamoDBFullAccesswithDataPipeline",,
"AWSIoTAnalyticsReadOnlyAccess","arn:aws:iam::aws:policy/AWSIoTAnalyticsReadOnlyAccess",,
"AmazonEC2RoleforDataPipelineRole","arn:aws:iam::aws:policy/service-role/AmazonEC2RoleforDataPipelineRole",,
"CloudWatchLogsFullAccess","arn:aws:iam::aws:policy/CloudWatchLogsFullAccess",,
"AWSSecurityHubFullAccess","arn:aws:iam::aws:policy/AWSSecurityHubFullAccess",,
"AWSElementalMediaPackageReadOnly","arn:aws:iam::aws:policy/AWSElementalMediaPackageReadOnly",,
"AWSElasticBeanstalkMulticontainerDocker","arn:aws:iam::aws:policy/AWSElasticBeanstalkMulticontainerDocker",,
"AmazonPersonalizeFullAccess","arn:aws:iam::aws:policy/service-role/AmazonPersonalizeFullAccess",,
"AWSMigrationHubFullAccess","arn:aws:iam::aws:policy/AWSMigrationHubFullAccess",,
"AmazonFSxReadOnlyAccess","arn:aws:iam::aws:policy/AmazonFSxReadOnlyAccess",,
"IAMUserChangePassword","arn:aws:iam::aws:policy/IAMUserChangePassword",,
"LightsailExportAccess","arn:aws:iam::aws:policy/aws-service-role/LightsailExportAccess",,
"AmazonAPIGatewayAdministrator","arn:aws:iam::aws:policy/AmazonAPIGatewayAdministrator",,
"AmazonVPCCrossAccountNetworkInterfaceOperations","arn:aws:iam::aws:policy/AmazonVPCCrossAccountNetworkInterfaceOperations",,
"AmazonMacieSetupRole","arn:aws:iam::aws:policy/service-role/AmazonMacieSetupRole",,
"AmazonPollyReadOnlyAccess","arn:aws:iam::aws:policy/AmazonPollyReadOnlyAccess",,
"AmazonRDSDataFullAccess","arn:aws:iam::aws:policy/AmazonRDSDataFullAccess",,
"AmazonMobileAnalyticsWriteOnlyAccess","arn:aws:iam::aws:policy/AmazonMobileAnalyticsWriteOnlyAccess",,
"AmazonEC2SpotFleetTaggingRole","arn:aws:iam::aws:policy/service-role/AmazonEC2SpotFleetTaggingRole",,
"AWSMarketplaceMeteringFullAccess","arn:aws:iam::aws:policy/AWSMarketplaceMeteringFullAccess",,
"AWSOpsWorksCMServiceRole","arn:aws:iam::aws:policy/service-role/AWSOpsWorksCMServiceRole",,
"FSxDeleteServiceLinkedRoleAccess","arn:aws:iam::aws:policy/aws-service-role/FSxDeleteServiceLinkedRoleAccess",,
"WorkLinkServiceRolePolicy","arn:aws:iam::aws:policy/WorkLinkServiceRolePolicy",,
"AmazonConnectServiceLinkedRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonConnectServiceLinkedRolePolicy",,
"AWSPrivateMarketplaceAdminFullAccess","arn:aws:iam::aws:policy/AWSPrivateMarketplaceAdminFullAccess",,
"AWSConnector","arn:aws:iam::aws:policy/AWSConnector",,
"AWSCodeDeployRoleForECSLimited","arn:aws:iam::aws:policy/AWSCodeDeployRoleForECSLimited",,
"AmazonElasticTranscoder_JobsSubmitter","arn:aws:iam::aws:policy/AmazonElasticTranscoder_JobsSubmitter",,
"AmazonMacieHandshakeRole","arn:aws:iam::aws:policy/service-role/AmazonMacieHandshakeRole",,
"AWSIoTAnalyticsFullAccess","arn:aws:iam::aws:policy/AWSIoTAnalyticsFullAccess",,
"AWSBatchFullAccess","arn:aws:iam::aws:policy/AWSBatchFullAccess",,
"AmazonSSMDirectoryServiceAccess","arn:aws:iam::aws:policy/AmazonSSMDirectoryServiceAccess",,
"AmazonECS_FullAccess","arn:aws:iam::aws:policy/AmazonECS_FullAccess",,
"AWSSupportServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSSupportServiceRolePolicy",,
"AWSApplicationAutoscalingRDSClusterPolicy","arn:aws:iam::aws:policy/aws-service-role/AWSApplicationAutoscalingRDSClusterPolicy",,
"AWSServiceRoleForEC2ScheduledInstances","arn:aws:iam::aws:policy/aws-service-role/AWSServiceRoleForEC2ScheduledInstances",,
"AWSCodeDeployRoleForLambda","arn:aws:iam::aws:policy/service-role/AWSCodeDeployRoleForLambda",,
"AWSFMAdminReadOnlyAccess","arn:aws:iam::aws:policy/AWSFMAdminReadOnlyAccess",,
"AmazonSSMFullAccess","arn:aws:iam::aws:policy/AmazonSSMFullAccess",,
"AWSCodeCommitReadOnly","arn:aws:iam::aws:policy/AWSCodeCommitReadOnly",,
"AmazonEC2ContainerServiceFullAccess","arn:aws:iam::aws:policy/AmazonEC2ContainerServiceFullAccess",,
"AmazonFreeRTOSFullAccess","arn:aws:iam::aws:policy/AmazonFreeRTOSFullAccess",,
"AmazonTextractServiceRole","arn:aws:iam::aws:policy/service-role/AmazonTextractServiceRole",,
"AmazonCognitoReadOnly","arn:aws:iam::aws:policy/AmazonCognitoReadOnly",,
"AmazonDMSCloudWatchLogsRole","arn:aws:iam::aws:policy/service-role/AmazonDMSCloudWatchLogsRole",,
"AWSApplicationDiscoveryServiceFullAccess","arn:aws:iam::aws:policy/AWSApplicationDiscoveryServiceFullAccess",,
"AmazonRoute53AutoNamingReadOnlyAccess","arn:aws:iam::aws:policy/AmazonRoute53AutoNamingReadOnlyAccess",,
"AWSSSOReadOnly","arn:aws:iam::aws:policy/AWSSSOReadOnly",,
"AWSCertificateManagerPrivateCAUser","arn:aws:iam::aws:policy/AWSCertificateManagerPrivateCAUser",,
"AWSAppSyncAdministrator","arn:aws:iam::aws:policy/AWSAppSyncAdministrator",,
"AWSEC2FleetServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSEC2FleetServiceRolePolicy",,
"AmazonRoute53AutoNamingFullAccess","arn:aws:iam::aws:policy/AmazonRoute53AutoNamingFullAccess",,
"AWSImportExportFullAccess","arn:aws:iam::aws:policy/AWSImportExportFullAccess",,
"DynamoDBReplicationServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/DynamoDBReplicationServiceRolePolicy",,
"AmazonMechanicalTurkFullAccess","arn:aws:iam::aws:policy/AmazonMechanicalTurkFullAccess",,
"AmazonEC2ContainerRegistryPowerUser","arn:aws:iam::aws:policy/AmazonEC2ContainerRegistryPowerUser",,
"AWSSSODirectoryReadOnly","arn:aws:iam::aws:policy/AWSSSODirectoryReadOnly",,
"AmazonMachineLearningCreateOnlyAccess","arn:aws:iam::aws:policy/AmazonMachineLearningCreateOnlyAccess",,
"AmazonKinesisVideoStreamsReadOnlyAccess","arn:aws:iam::aws:policy/AmazonKinesisVideoStreamsReadOnlyAccess",,
"AWSCloudTrailReadOnlyAccess","arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess",,
"WAFRegionalLoggingServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/WAFRegionalLoggingServiceRolePolicy",,
"AWSLambdaExecute","arn:aws:iam::aws:policy/AWSLambdaExecute",,
"AWSGlueConsoleSageMakerNotebookFullAccess","arn:aws:iam::aws:policy/AWSGlueConsoleSageMakerNotebookFullAccess",,
"AmazonMSKFullAccess","arn:aws:iam::aws:policy/AmazonMSKFullAccess",,
"AWSIoTRuleActions","arn:aws:iam::aws:policy/service-role/AWSIoTRuleActions",,
"AmazonEKSServicePolicy","arn:aws:iam::aws:policy/AmazonEKSServicePolicy",,
"AWSQuickSightDescribeRedshift","arn:aws:iam::aws:policy/service-role/AWSQuickSightDescribeRedshift",,
"AmazonElasticsearchServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonElasticsearchServiceRolePolicy",,
"AmazonMQReadOnlyAccess","arn:aws:iam::aws:policy/AmazonMQReadOnlyAccess",,
"VMImportExportRoleForAWSConnector","arn:aws:iam::aws:policy/service-role/VMImportExportRoleForAWSConnector",,
"AWSCodePipelineCustomActionAccess","arn:aws:iam::aws:policy/AWSCodePipelineCustomActionAccess",,
"AWSLambdaSQSQueueExecutionRole","arn:aws:iam::aws:policy/service-role/AWSLambdaSQSQueueExecutionRole",,
"AWSCloud9ServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSCloud9ServiceRolePolicy",,
"AWSApplicationAutoscalingECSServicePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSApplicationAutoscalingECSServicePolicy",,
"AWSOpsWorksInstanceRegistration","arn:aws:iam::aws:policy/AWSOpsWorksInstanceRegistration",,
"AmazonCloudDirectoryFullAccess","arn:aws:iam::aws:policy/AmazonCloudDirectoryFullAccess",,
"AmazonECSTaskExecutionRolePolicy","arn:aws:iam::aws:policy/service-role/AmazonECSTaskExecutionRolePolicy",,
"AWSStorageGatewayFullAccess","arn:aws:iam::aws:policy/AWSStorageGatewayFullAccess",,
"AWSIoTEventsFullAccess","arn:aws:iam::aws:policy/AWSIoTEventsFullAccess",,
"AmazonLexReadOnly","arn:aws:iam::aws:policy/AmazonLexReadOnly",,
"TagPoliciesServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/TagPoliciesServiceRolePolicy",,
"AmazonChimeUserManagement","arn:aws:iam::aws:policy/AmazonChimeUserManagement",,
"AmazonMSKReadOnlyAccess","arn:aws:iam::aws:policy/AmazonMSKReadOnlyAccess",,
"AWSDataSyncFullAccess","arn:aws:iam::aws:policy/AWSDataSyncFullAccess",,
"AWSServiceRoleForIoTSiteWise","arn:aws:iam::aws:policy/aws-service-role/AWSServiceRoleForIoTSiteWise",,
"CloudwatchApplicationInsightsServiceLinkedRolePolicy","arn:aws:iam::aws:policy/aws-service-role/CloudwatchApplicationInsightsServiceLinkedRolePolicy",,
"AWSTrustedAdvisorServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSTrustedAdvisorServiceRolePolicy",,
"AWSIoTConfigReadOnlyAccess","arn:aws:iam::aws:policy/AWSIoTConfigReadOnlyAccess",,
"AmazonWorkMailReadOnlyAccess","arn:aws:iam::aws:policy/AmazonWorkMailReadOnlyAccess",,
"AmazonDMSVPCManagementRole","arn:aws:iam::aws:policy/service-role/AmazonDMSVPCManagementRole",,
"AWSLambdaKinesisExecutionRole","arn:aws:iam::aws:policy/service-role/AWSLambdaKinesisExecutionRole",,
"ComprehendDataAccessRolePolicy","arn:aws:iam::aws:policy/service-role/ComprehendDataAccessRolePolicy",,
"AmazonDocDBConsoleFullAccess","arn:aws:iam::aws:policy/AmazonDocDBConsoleFullAccess",,
"ResourceGroupsandTagEditorReadOnlyAccess","arn:aws:iam::aws:policy/ResourceGroupsandTagEditorReadOnlyAccess",,
"AmazonRekognitionServiceRole","arn:aws:iam::aws:policy/service-role/AmazonRekognitionServiceRole",,
"AmazonSSMAutomationRole","arn:aws:iam::aws:policy/service-role/AmazonSSMAutomationRole",,
"CloudHSMServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/CloudHSMServiceRolePolicy",,
"ComprehendReadOnly","arn:aws:iam::aws:policy/ComprehendReadOnly",,
"AWSStepFunctionsConsoleFullAccess","arn:aws:iam::aws:policy/AWSStepFunctionsConsoleFullAccess",,
"AWSQuickSightIoTAnalyticsAccess","arn:aws:iam::aws:policy/AWSQuickSightIoTAnalyticsAccess",,
"AWSCodeBuildReadOnlyAccess","arn:aws:iam::aws:policy/AWSCodeBuildReadOnlyAccess",,
"LexBotPolicy","arn:aws:iam::aws:policy/aws-service-role/LexBotPolicy",,
"AmazonMacieFullAccess","arn:aws:iam::aws:policy/AmazonMacieFullAccess",,
"AmazonMachineLearningManageRealTimeEndpointOnlyAccess","arn:aws:iam::aws:policy/AmazonMachineLearningManageRealTimeEndpointOnlyAccess",,
"CloudWatchEventsInvocationAccess","arn:aws:iam::aws:policy/service-role/CloudWatchEventsInvocationAccess",,
"CloudFrontReadOnlyAccess","arn:aws:iam::aws:policy/CloudFrontReadOnlyAccess",,
"AWSDeepLensServiceRolePolicy","arn:aws:iam::aws:policy/service-role/AWSDeepLensServiceRolePolicy",,
"AmazonSNSRole","arn:aws:iam::aws:policy/service-role/AmazonSNSRole",,
"AmazonInspectorServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonInspectorServiceRolePolicy",,
"AmazonMobileAnalyticsFinancialReportAccess","arn:aws:iam::aws:policy/AmazonMobileAnalyticsFinancialReportAccess",,
"AWSElasticBeanstalkService","arn:aws:iam::aws:policy/service-role/AWSElasticBeanstalkService",,
"IAMReadOnlyAccess","arn:aws:iam::aws:policy/IAMReadOnlyAccess",,
"AmazonRDSReadOnlyAccess","arn:aws:iam::aws:policy/AmazonRDSReadOnlyAccess",,
"AWSIoTDeviceDefenderAudit","arn:aws:iam::aws:policy/service-role/AWSIoTDeviceDefenderAudit",,
"AmazonCognitoPowerUser","arn:aws:iam::aws:policy/AmazonCognitoPowerUser",,
"AmazonRoute53AutoNamingRegistrantAccess","arn:aws:iam::aws:policy/AmazonRoute53AutoNamingRegistrantAccess",,
"AmazonElasticFileSystemFullAccess","arn:aws:iam::aws:policy/AmazonElasticFileSystemFullAccess",,
"LexChannelPolicy","arn:aws:iam::aws:policy/aws-service-role/LexChannelPolicy",,
"ServerMigrationConnector","arn:aws:iam::aws:policy/ServerMigrationConnector",,
"AmazonESCognitoAccess","arn:aws:iam::aws:policy/AmazonESCognitoAccess",,
"AWSFMAdminFullAccess","arn:aws:iam::aws:policy/AWSFMAdminFullAccess",,
"AmazonChimeReadOnly","arn:aws:iam::aws:policy/AmazonChimeReadOnly",,
"AmazonZocaloFullAccess","arn:aws:iam::aws:policy/AmazonZocaloFullAccess",,
"AWSLambdaReadOnlyAccess","arn:aws:iam::aws:policy/AWSLambdaReadOnlyAccess",,
"AWSIoTSiteWiseReadOnlyAccess","arn:aws:iam::aws:policy/AWSIoTSiteWiseReadOnlyAccess",,
"AWSAccountUsageReportAccess","arn:aws:iam::aws:policy/AWSAccountUsageReportAccess",,
"AWSIoTOTAUpdate","arn:aws:iam::aws:policy/service-role/AWSIoTOTAUpdate",,
"AmazonMQFullAccess","arn:aws:iam::aws:policy/AmazonMQFullAccess",,
"AWSMarketplaceGetEntitlements","arn:aws:iam::aws:policy/AWSMarketplaceGetEntitlements",,
"AWSGreengrassReadOnlyAccess","arn:aws:iam::aws:policy/AWSGreengrassReadOnlyAccess",,
"AmazonEC2ContainerServiceforEC2Role","arn:aws:iam::aws:policy/service-role/AmazonEC2ContainerServiceforEC2Role",,
"AmazonAppStreamFullAccess","arn:aws:iam::aws:policy/AmazonAppStreamFullAccess",,
"AWSIoTDataAccess","arn:aws:iam::aws:policy/AWSIoTDataAccess",,
"AmazonWorkLinkFullAccess","arn:aws:iam::aws:policy/AmazonWorkLinkFullAccess",,
"AmazonTranscribeReadOnlyAccess","arn:aws:iam::aws:policy/AmazonTranscribeReadOnlyAccess",,
"AmazonESFullAccess","arn:aws:iam::aws:policy/AmazonESFullAccess",,
"ServerMigrationServiceRole","arn:aws:iam::aws:policy/service-role/ServerMigrationServiceRole",,
"ApplicationDiscoveryServiceContinuousExportServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/ApplicationDiscoveryServiceContinuousExportServiceRolePolicy",,
"AmazonSumerianFullAccess","arn:aws:iam::aws:policy/AmazonSumerianFullAccess",,
"AWSWAFFullAccess","arn:aws:iam::aws:policy/AWSWAFFullAccess",,
"ElasticLoadBalancingReadOnly","arn:aws:iam::aws:policy/ElasticLoadBalancingReadOnly",,
"AWSArtifactAccountSync","arn:aws:iam::aws:policy/service-role/AWSArtifactAccountSync",,
"AmazonKinesisFirehoseFullAccess","arn:aws:iam::aws:policy/AmazonKinesisFirehoseFullAccess",,
"CloudWatchReadOnlyAccess","arn:aws:iam::aws:policy/CloudWatchReadOnlyAccess",,
"AWSLambdaBasicExecutionRole","arn:aws:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole",,
"ResourceGroupsandTagEditorFullAccess","arn:aws:iam::aws:policy/ResourceGroupsandTagEditorFullAccess",,
"AWSKeyManagementServicePowerUser","arn:aws:iam::aws:policy/AWSKeyManagementServicePowerUser",,
"AWSApplicationAutoscalingEC2SpotFleetRequestPolicy","arn:aws:iam::aws:policy/aws-service-role/AWSApplicationAutoscalingEC2SpotFleetRequestPolicy",,
"AWSImportExportReadOnlyAccess","arn:aws:iam::aws:policy/AWSImportExportReadOnlyAccess",,
"CloudWatchEventsServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/CloudWatchEventsServiceRolePolicy",,
"AmazonElasticTranscoderRole","arn:aws:iam::aws:policy/service-role/AmazonElasticTranscoderRole",,
"AWSGlueConsoleFullAccess","arn:aws:iam::aws:policy/AWSGlueConsoleFullAccess",,
"AmazonEC2ContainerServiceRole","arn:aws:iam::aws:policy/service-role/AmazonEC2ContainerServiceRole",,
"AWSDeviceFarmFullAccess","arn:aws:iam::aws:policy/AWSDeviceFarmFullAccess",,
"AmazonSSMReadOnlyAccess","arn:aws:iam::aws:policy/AmazonSSMReadOnlyAccess",,
"AWSStepFunctionsReadOnlyAccess","arn:aws:iam::aws:policy/AWSStepFunctionsReadOnlyAccess",,
"AWSMarketplaceReadonly","arn:aws:iam::aws:policy/AWSMarketplaceRead-only",,
"AWSApplicationAutoscalingDynamoDBTablePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSApplicationAutoscalingDynamoDBTablePolicy",,
"AWSCodePipelineFullAccess","arn:aws:iam::aws:policy/AWSCodePipelineFullAccess",,
"AWSCloud9User","arn:aws:iam::aws:policy/AWSCloud9User",,
"AWSGreengrassResourceAccessRolePolicy","arn:aws:iam::aws:policy/service-role/AWSGreengrassResourceAccessRolePolicy",,
"AmazonMacieServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonMacieServiceRolePolicy",,
"AWSIoT1ClickFullAccess","arn:aws:iam::aws:policy/AWSIoT1ClickFullAccess",,
"AmazonWorkSpacesApplicationManagerAdminAccess","arn:aws:iam::aws:policy/AmazonWorkSpacesApplicationManagerAdminAccess",,
"AmazonDRSVPCManagement","arn:aws:iam::aws:policy/AmazonDRSVPCManagement",,
"AmazonRedshiftServiceLinkedRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonRedshiftServiceLinkedRolePolicy",,
"AWSCertificateManagerPrivateCAReadOnly","arn:aws:iam::aws:policy/AWSCertificateManagerPrivateCAReadOnly",,
"AWSXrayFullAccess","arn:aws:iam::aws:policy/AWSXrayFullAccess",,
"AWSElasticBeanstalkWorkerTier","arn:aws:iam::aws:policy/AWSElasticBeanstalkWorkerTier",,
"AWSDirectConnectFullAccess","arn:aws:iam::aws:policy/AWSDirectConnectFullAccess",,
"AWSCodeBuildAdminAccess","arn:aws:iam::aws:policy/AWSCodeBuildAdminAccess",,
"AmazonKinesisAnalyticsFullAccess","arn:aws:iam::aws:policy/AmazonKinesisAnalyticsFullAccess",,
"AWSSecurityHubServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSSecurityHubServiceRolePolicy",,
"AWSElasticBeanstalkMaintenance","arn:aws:iam::aws:policy/aws-service-role/AWSElasticBeanstalkMaintenance",,
"APIGatewayServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/APIGatewayServiceRolePolicy",,
"AWSAccountActivityAccess","arn:aws:iam::aws:policy/AWSAccountActivityAccess",,
"AmazonGlacierFullAccess","arn:aws:iam::aws:policy/AmazonGlacierFullAccess",,
"AmazonFSxConsoleReadOnlyAccess","arn:aws:iam::aws:policy/AmazonFSxConsoleReadOnlyAccess",,
"AmazonWorkMailFullAccess","arn:aws:iam::aws:policy/AmazonWorkMailFullAccess",,
"DAXServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/DAXServiceRolePolicy",,
"ComprehendMedicalFullAccess","arn:aws:iam::aws:policy/ComprehendMedicalFullAccess",,
"AWSMarketplaceManageSubscriptions","arn:aws:iam::aws:policy/AWSMarketplaceManageSubscriptions",,
"AWSElasticBeanstalkCustomPlatformforEC2Role","arn:aws:iam::aws:policy/AWSElasticBeanstalkCustomPlatformforEC2Role",,
"AWSDataSyncReadOnlyAccess","arn:aws:iam::aws:policy/AWSDataSyncReadOnlyAccess",,
"AWSVPCTransitGatewayServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSVPCTransitGatewayServiceRolePolicy",,
"NeptuneReadOnlyAccess","arn:aws:iam::aws:policy/NeptuneReadOnlyAccess",,
"AmazonElasticMapReduceforAutoScalingRole","arn:aws:iam::aws:policy/service-role/AmazonElasticMapReduceforAutoScalingRole",,
"AWSElementalMediaConvertReadOnly","arn:aws:iam::aws:policy/AWSElementalMediaConvertReadOnly",,
"AWSLambdaInvocationDynamoDB","arn:aws:iam::aws:policy/AWSLambdaInvocation-DynamoDB",,
"AWSServiceCatalogEndUserFullAccess","arn:aws:iam::aws:policy/AWSServiceCatalogEndUserFullAccess",,
"IAMUserSSHKeys","arn:aws:iam::aws:policy/IAMUserSSHKeys",,
"AWSDeepRacerServiceRolePolicy","arn:aws:iam::aws:policy/service-role/AWSDeepRacerServiceRolePolicy",,
"AmazonSageMakerReadOnly","arn:aws:iam::aws:policy/AmazonSageMakerReadOnly",,
"AWSIoTFullAccess","arn:aws:iam::aws:policy/AWSIoTFullAccess",,
"AWSQuickSightDescribeRDS","arn:aws:iam::aws:policy/service-role/AWSQuickSightDescribeRDS",,
"AWSResourceAccessManagerServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSResourceAccessManagerServiceRolePolicy",,
"AWSConfigRulesExecutionRole","arn:aws:iam::aws:policy/service-role/AWSConfigRulesExecutionRole",,
"AWSConfigServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSConfigServiceRolePolicy",,
"AmazonESReadOnlyAccess","arn:aws:iam::aws:policy/AmazonESReadOnlyAccess",,
"AWSCodeDeployDeployerAccess","arn:aws:iam::aws:policy/AWSCodeDeployDeployerAccess",,
"KafkaServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/KafkaServiceRolePolicy",,
"AmazonPollyFullAccess","arn:aws:iam::aws:policy/AmazonPollyFullAccess",,
"AmazonSSMMaintenanceWindowRole","arn:aws:iam::aws:policy/service-role/AmazonSSMMaintenanceWindowRole",,
"AmazonRDSEnhancedMonitoringRole","arn:aws:iam::aws:policy/service-role/AmazonRDSEnhancedMonitoringRole",,
"AmazonLexFullAccess","arn:aws:iam::aws:policy/AmazonLexFullAccess",,
"AWSLambdaVPCAccessExecutionRole","arn:aws:iam::aws:policy/service-role/AWSLambdaVPCAccessExecutionRole",,
"AmazonMacieServiceRole","arn:aws:iam::aws:policy/service-role/AmazonMacieServiceRole",,
"AmazonLexRunBotsOnly","arn:aws:iam::aws:policy/AmazonLexRunBotsOnly",,
"AWSCertificateManagerPrivateCAAuditor","arn:aws:iam::aws:policy/AWSCertificateManagerPrivateCAAuditor",,
"AmazonSNSFullAccess","arn:aws:iam::aws:policy/AmazonSNSFullAccess",,
"AmazonEKS_CNI_Policy","arn:aws:iam::aws:policy/AmazonEKS_CNI_Policy",,
"AWSServiceCatalogAdminFullAccess","arn:aws:iam::aws:policy/AWSServiceCatalogAdminFullAccess",,
"AWSShieldDRTAccessPolicy","arn:aws:iam::aws:policy/service-role/AWSShieldDRTAccessPolicy",,
"CloudSearchReadOnlyAccess","arn:aws:iam::aws:policy/CloudSearchReadOnlyAccess",,
"AWSGreengrassFullAccess","arn:aws:iam::aws:policy/AWSGreengrassFullAccess",,
"NeptuneConsoleFullAccess","arn:aws:iam::aws:policy/NeptuneConsoleFullAccess",,
"AWSCloudFormationReadOnlyAccess","arn:aws:iam::aws:policy/AWSCloudFormationReadOnlyAccess",,
"AmazonRoute53FullAccess","arn:aws:iam::aws:policy/AmazonRoute53FullAccess",,
"AWSLambdaRole","arn:aws:iam::aws:policy/service-role/AWSLambdaRole",,
"AWSLambdaENIManagementAccess","arn:aws:iam::aws:policy/service-role/AWSLambdaENIManagementAccess",,
"AWSOpsWorksCloudWatchLogs","arn:aws:iam::aws:policy/AWSOpsWorksCloudWatchLogs",,
"AmazonAppStreamReadOnlyAccess","arn:aws:iam::aws:policy/AmazonAppStreamReadOnlyAccess",,
"AWSStepFunctionsFullAccess","arn:aws:iam::aws:policy/AWSStepFunctionsFullAccess",,
"CloudTrailServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/CloudTrailServiceRolePolicy",,
"AmazonInspectorReadOnlyAccess","arn:aws:iam::aws:policy/AmazonInspectorReadOnlyAccess",,
"AWSOrganizationsReadOnlyAccess","arn:aws:iam::aws:policy/AWSOrganizationsReadOnlyAccess",,
"TranslateReadOnly","arn:aws:iam::aws:policy/TranslateReadOnly",,
"AWSCertificateManagerFullAccess","arn:aws:iam::aws:policy/AWSCertificateManagerFullAccess",,
"AWSDeepRacerCloudFormationAccessPolicy","arn:aws:iam::aws:policy/AWSDeepRacerCloudFormationAccessPolicy",,
"AWSIoTEventsReadOnlyAccess","arn:aws:iam::aws:policy/AWSIoTEventsReadOnlyAccess",,
"AWSRoboMakerServicePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSRoboMakerServicePolicy",,
"AWSApplicationAutoScalingCustomResourcePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSApplicationAutoScalingCustomResourcePolicy",,
"GlobalAcceleratorReadOnlyAccess","arn:aws:iam::aws:policy/GlobalAcceleratorReadOnlyAccess",,
"AmazonSageMakerFullAccess","arn:aws:iam::aws:policy/AmazonSageMakerFullAccess",,
"WAFLoggingServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/WAFLoggingServiceRolePolicy",,
"AWSBackupServiceRolePolicyForRestores","arn:aws:iam::aws:policy/service-role/AWSBackupServiceRolePolicyForRestores",,
"AWSElementalMediaStoreFullAccess","arn:aws:iam::aws:policy/AWSElementalMediaStoreFullAccess",,
"CloudWatchEventsFullAccess","arn:aws:iam::aws:policy/CloudWatchEventsFullAccess",,
"AWSLicenseManagerMemberAccountRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSLicenseManagerMemberAccountRolePolicy",,
"AWSOrganizationsFullAccess","arn:aws:iam::aws:policy/AWSOrganizationsFullAccess",,
"AmazonFraudDetectorFullAccessPolicy","arn:aws:iam::aws:policy/AmazonFraudDetectorFullAccessPolicy",,
"AmazonChimeSDK","arn:aws:iam::aws:policy/AmazonChimeSDK",,
"AWSIoTDeviceTesterForFreeRTOSFullAccess","arn:aws:iam::aws:policy/AWSIoTDeviceTesterForFreeRTOSFullAccess",,
"WAFV2LoggingServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/WAFV2LoggingServiceRolePolicy",,
"AWSNetworkManagerFullAccess","arn:aws:iam::aws:policy/AWSNetworkManagerFullAccess",,
"AWSPrivateMarketplaceRequests","arn:aws:iam::aws:policy/AWSPrivateMarketplaceRequests",,
