emoji,emoji_code
*🔣*,U+1F523
*🔤*,U+1F524
*🅰*,U+1F170
*🆎*,U+1F18E
*🅱*,U+1F171
*🆑*,U+1F191
*🆒*,U+1F192
*🆓*,U+1F193
*ℹ*,U+2139
*🆔*,U+1F194
*Ⓜ*,U+24C2
*🆕*,U+1F195
*🆖*,U+1F196
*🅾*,U+1F17E
*🆗*,U+1F197
*🅿*,U+1F17F
*🆘*,U+1F198
*🆙*,U+1F199
*🆚*,U+1F19A
*🈁*,U+1F201
*🈂*,U+1F202
*🈷*,U+1F237
*🈶*,U+1F236
*🈯*,U+1F22F
*🉐*,U+1F250
*🈹*,U+1F239
*🈚*,U+1F21A
*🈲*,U+1F232
*🉑*,U+1F251
*🈸*,U+1F238
*🈴*,U+1F234
*🈳*,U+1F233
*㊗*,U+3297
*㊙*,U+3299
*🈺*,U+1F23A
*🈵*,U+1F235
*▪*,U+25AA
*▫*,U+25AB
*◻*,U+25FB
*◼*,U+25FC
*◽*,U+25FD
*◾*,U+25FE
*⬛*,U+2B1B
*⬜*,U+2B1C
*🔶*,U+1F536
*🔷*,U+1F537
*🔸*,U+1F538
*🔹*,U+1F539
*🔺*,U+1F53A
*🔻*,U+1F53B
*💠*,U+1F4A0
*🔘*,U+1F518
*🔲*,U+1F532
*🔳*,U+1F533
*⚪*,U+26AA
*⚫*,U+26AB
*🔴*,U+1F534
*🔵*,U+1F535
*🏁*,U+1F3C1
*🚩*,U+1F6A9
*🎌*,U+1F38C
*🏴*,U+1F3F4
*🏳*,U+1F3F3
*🇦🇨*,U+1F1E6 U+1F1E8
*🇦🇩*,U+1F1E6 U+1F1E9
*🇦🇪*,U+1F1E6 U+1F1EA
*🇦🇫*,U+1F1E6 U+1F1EB
*🇦🇬*,U+1F1E6 U+1F1EC
*🇦🇮*,U+1F1E6 U+1F1EE
*🇦🇱*,U+1F1E6 U+1F1F1
*🇦🇲*,U+1F1E6 U+1F1F2
*🇦🇴*,U+1F1E6 U+1F1F4
*🇦🇶*,U+1F1E6 U+1F1F6
*🇦🇷*,U+1F1E6 U+1F1F7
*🇦🇸*,U+1F1E6 U+1F1F8
*🇦🇹*,U+1F1E6 U+1F1F9
*🇦🇺*,U+1F1E6 U+1F1FA
*🇦🇼*,U+1F1E6 U+1F1FC
*🇦🇽*,U+1F1E6 U+1F1FD
*🇦🇿*,U+1F1E6 U+1F1FF
*🇧🇦*,U+1F1E7 U+1F1E6
*🇧🇧*,U+1F1E7 U+1F1E7
*🇧🇩*,U+1F1E7 U+1F1E9
*🇧🇪*,U+1F1E7 U+1F1EA
*🇧🇫*,U+1F1E7 U+1F1EB
*🇧🇬*,U+1F1E7 U+1F1EC
*🇧🇭*,U+1F1E7 U+1F1ED
*🇧🇮*,U+1F1E7 U+1F1EE
*🇧🇯*,U+1F1E7 U+1F1EF
*🇧🇱*,U+1F1E7 U+1F1F1
*🇧🇲*,U+1F1E7 U+1F1F2
*🇧🇳*,U+1F1E7 U+1F1F3
*🇧🇴*,U+1F1E7 U+1F1F4
*🇧🇶*,U+1F1E7 U+1F1F6
*🇧🇷*,U+1F1E7 U+1F1F7
*🇧🇸*,U+1F1E7 U+1F1F8
*🇧🇹*,U+1F1E7 U+1F1F9
*🇧🇻*,U+1F1E7 U+1F1FB
*🇧🇼*,U+1F1E7 U+1F1FC
*🇧🇾*,U+1F1E7 U+1F1FE
*🇧🇿*,U+1F1E7 U+1F1FF
*🇨🇦*,U+1F1E8 U+1F1E6
*🇨🇨*,U+1F1E8 U+1F1E8
*🇨🇩*,U+1F1E8 U+1F1E9
*🇨🇫*,U+1F1E8 U+1F1EB
*🇨🇬*,U+1F1E8 U+1F1EC
*🇨🇭*,U+1F1E8 U+1F1ED
*🇨🇮*,U+1F1E8 U+1F1EE
*🇨🇰*,U+1F1E8 U+1F1F0
*🇨🇱*,U+1F1E8 U+1F1F1
*🇨🇲*,U+1F1E8 U+1F1F2
*🇨🇳*,U+1F1E8 U+1F1F3
*🇨🇴*,U+1F1E8 U+1F1F4
*🇨🇵*,U+1F1E8 U+1F1F5
*🇨🇷*,U+1F1E8 U+1F1F7
*🇨🇺*,U+1F1E8 U+1F1FA
*🇨🇻*,U+1F1E8 U+1F1FB
*🇨🇼*,U+1F1E8 U+1F1FC
*🇨🇽*,U+1F1E8 U+1F1FD
*🇨🇾*,U+1F1E8 U+1F1FE
*🇨🇿*,U+1F1E8 U+1F1FF
*🇩🇪*,U+1F1E9 U+1F1EA
*🇩🇬*,U+1F1E9 U+1F1EC
*🇩🇯*,U+1F1E9 U+1F1EF
*🇩🇰*,U+1F1E9 U+1F1F0
*🇩🇲*,U+1F1E9 U+1F1F2
*🇩🇴*,U+1F1E9 U+1F1F4
*🇩🇿*,U+1F1E9 U+1F1FF
*🇪🇦*,U+1F1EA U+1F1E6
*🇪🇨*,U+1F1EA U+1F1E8
*🇪🇪*,U+1F1EA U+1F1EA
*🇪🇬*,U+1F1EA U+1F1EC
*🇪🇭*,U+1F1EA U+1F1ED
*🇪🇷*,U+1F1EA U+1F1F7
*🇪🇸*,U+1F1EA U+1F1F8
*🇪🇹*,U+1F1EA U+1F1F9
*🇪🇺*,U+1F1EA U+1F1FA
*🇫🇮*,U+1F1EB U+1F1EE
*🇫🇯*,U+1F1EB U+1F1EF
*🇫🇰*,U+1F1EB U+1F1F0
*🇫🇲*,U+1F1EB U+1F1F2
*🇫🇴*,U+1F1EB U+1F1F4
*🇫🇷*,U+1F1EB U+1F1F7
*🇬🇦*,U+1F1EC U+1F1E6
*🇬🇧*,U+1F1EC U+1F1E7
*🇬🇩*,U+1F1EC U+1F1E9
*🇬🇪*,U+1F1EC U+1F1EA
*🇬🇫*,U+1F1EC U+1F1EB
*🇬🇬*,U+1F1EC U+1F1EC
*🇬🇭*,U+1F1EC U+1F1ED
*🇬🇮*,U+1F1EC U+1F1EE
*🇬🇱*,U+1F1EC U+1F1F1
*🇬🇲*,U+1F1EC U+1F1F2
*🇬🇳*,U+1F1EC U+1F1F3
*🇬🇵*,U+1F1EC U+1F1F5
*🇬🇶*,U+1F1EC U+1F1F6
*🇬🇷*,U+1F1EC U+1F1F7
*🇬🇸*,U+1F1EC U+1F1F8
*🇬🇹*,U+1F1EC U+1F1F9
*🇬🇺*,U+1F1EC U+1F1FA
*🇬🇼*,U+1F1EC U+1F1FC
*🇬🇾*,U+1F1EC U+1F1FE
*🇭🇰*,U+1F1ED U+1F1F0
*🇭🇲*,U+1F1ED U+1F1F2
*🇭🇳*,U+1F1ED U+1F1F3
*🇭🇷*,U+1F1ED U+1F1F7
*🇭🇹*,U+1F1ED U+1F1F9
*🇭🇺*,U+1F1ED U+1F1FA
*🇮🇨*,U+1F1EE U+1F1E8
*🇮🇩*,U+1F1EE U+1F1E9
*🇮🇪*,U+1F1EE U+1F1EA
*🇮🇱*,U+1F1EE U+1F1F1
*🇮🇲*,U+1F1EE U+1F1F2
*🇮🇳*,U+1F1EE U+1F1F3
*🇮🇴*,U+1F1EE U+1F1F4
*🇮🇶*,U+1F1EE U+1F1F6
*🇮🇷*,U+1F1EE U+1F1F7
*🇮🇸*,U+1F1EE U+1F1F8
*🇮🇹*,U+1F1EE U+1F1F9
*🇯🇪*,U+1F1EF U+1F1EA
*🇯🇲*,U+1F1EF U+1F1F2
*🇯🇴*,U+1F1EF U+1F1F4
*🇯🇵*,U+1F1EF U+1F1F5
*🇰🇪*,U+1F1F0 U+1F1EA
*🇰🇬*,U+1F1F0 U+1F1EC
*🇰🇭*,U+1F1F0 U+1F1ED
*🇰🇮*,U+1F1F0 U+1F1EE
*🇰🇲*,U+1F1F0 U+1F1F2
*🇰🇳*,U+1F1F0 U+1F1F3
*🇰🇵*,U+1F1F0 U+1F1F5
*🇰🇷*,U+1F1F0 U+1F1F7
*🇰🇼*,U+1F1F0 U+1F1FC
*🇰🇾*,U+1F1F0 U+1F1FE
*🇰🇿*,U+1F1F0 U+1F1FF
*🇱🇦*,U+1F1F1 U+1F1E6
*🇱🇧*,U+1F1F1 U+1F1E7
*🇱🇨*,U+1F1F1 U+1F1E8
*🇱🇮*,U+1F1F1 U+1F1EE
*🇱🇰*,U+1F1F1 U+1F1F0
*🇱🇷*,U+1F1F1 U+1F1F7
*🇱🇸*,U+1F1F1 U+1F1F8
*🇱🇹*,U+1F1F1 U+1F1F9
*🇱🇺*,U+1F1F1 U+1F1FA
*🇱🇻*,U+1F1F1 U+1F1FB
*🇱🇾*,U+1F1F1 U+1F1FE
*🇲🇦*,U+1F1F2 U+1F1E6
*🇲🇨*,U+1F1F2 U+1F1E8
*🇲🇩*,U+1F1F2 U+1F1E9
*🇲🇪*,U+1F1F2 U+1F1EA
*🇲🇫*,U+1F1F2 U+1F1EB
*🇲🇬*,U+1F1F2 U+1F1EC
*🇲🇭*,U+1F1F2 U+1F1ED
*🇲🇰*,U+1F1F2 U+1F1F0
*🇲🇱*,U+1F1F2 U+1F1F1
*🇲🇲*,U+1F1F2 U+1F1F2
*🇲🇳*,U+1F1F2 U+1F1F3
*🇲🇴*,U+1F1F2 U+1F1F4
*🇲🇵*,U+1F1F2 U+1F1F5
*🇲🇶*,U+1F1F2 U+1F1F6
*🇲🇷*,U+1F1F2 U+1F1F7
*🇲🇸*,U+1F1F2 U+1F1F8
*🇲🇹*,U+1F1F2 U+1F1F9
*🇲🇺*,U+1F1F2 U+1F1FA
*🇲🇻*,U+1F1F2 U+1F1FB
*🇲🇼*,U+1F1F2 U+1F1FC
*🇲🇽*,U+1F1F2 U+1F1FD
*🇲🇾*,U+1F1F2 U+1F1FE
*🇲🇿*,U+1F1F2 U+1F1FF
*🇳🇦*,U+1F1F3 U+1F1E6
*🇳🇨*,U+1F1F3 U+1F1E8
*🇳🇪*,U+1F1F3 U+1F1EA
*🇳🇫*,U+1F1F3 U+1F1EB
*🇳🇬*,U+1F1F3 U+1F1EC
*🇳🇮*,U+1F1F3 U+1F1EE
*🇳🇱*,U+1F1F3 U+1F1F1
*🇳🇴*,U+1F1F3 U+1F1F4
*🇳🇵*,U+1F1F3 U+1F1F5
*🇳🇷*,U+1F1F3 U+1F1F7
*🇳🇺*,U+1F1F3 U+1F1FA
*🇳🇿*,U+1F1F3 U+1F1FF
*🇴🇲*,U+1F1F4 U+1F1F2
*🇵🇦*,U+1F1F5 U+1F1E6
*🇵🇪*,U+1F1F5 U+1F1EA
*🇵🇫*,U+1F1F5 U+1F1EB
*🇵🇬*,U+1F1F5 U+1F1EC
*🇵🇭*,U+1F1F5 U+1F1ED
*🇵🇰*,U+1F1F5 U+1F1F0
*🇵🇱*,U+1F1F5 U+1F1F1
*🇵🇲*,U+1F1F5 U+1F1F2
*🇵🇳*,U+1F1F5 U+1F1F3
*🇵🇷*,U+1F1F5 U+1F1F7
*🇵🇸*,U+1F1F5 U+1F1F8
*🇵🇹*,U+1F1F5 U+1F1F9
*🇵🇼*,U+1F1F5 U+1F1FC
*🇵🇾*,U+1F1F5 U+1F1FE
*🇶🇦*,U+1F1F6 U+1F1E6
*🇷🇪*,U+1F1F7 U+1F1EA
*🇷🇴*,U+1F1F7 U+1F1F4
*🇷🇸*,U+1F1F7 U+1F1F8
*🇷🇺*,U+1F1F7 U+1F1FA
*🇷🇼*,U+1F1F7 U+1F1FC
*🇸🇦*,U+1F1F8 U+1F1E6
*🇸🇧*,U+1F1F8 U+1F1E7
*🇸🇨*,U+1F1F8 U+1F1E8
*🇸🇩*,U+1F1F8 U+1F1E9
*🇸🇪*,U+1F1F8 U+1F1EA
*🇸🇬*,U+1F1F8 U+1F1EC
*🇸🇭*,U+1F1F8 U+1F1ED
*🇸🇮*,U+1F1F8 U+1F1EE
*🇸🇯*,U+1F1F8 U+1F1EF
*🇸🇰*,U+1F1F8 U+1F1F0
*🇸🇱*,U+1F1F8 U+1F1F1
*🇸🇲*,U+1F1F8 U+1F1F2
*🇸🇳*,U+1F1F8 U+1F1F3
*🇸🇴*,U+1F1F8 U+1F1F4
*🇸🇷*,U+1F1F8 U+1F1F7
*🇸🇸*,U+1F1F8 U+1F1F8
*🇸🇹*,U+1F1F8 U+1F1F9
*🇸🇻*,U+1F1F8 U+1F1FB
*🇸🇽*,U+1F1F8 U+1F1FD
*🇸🇾*,U+1F1F8 U+1F1FE
*🇸🇿*,U+1F1F8 U+1F1FF
*🇹🇦*,U+1F1F9 U+1F1E6
*🇹🇨*,U+1F1F9 U+1F1E8
*🇹🇩*,U+1F1F9 U+1F1E9
*🇹🇫*,U+1F1F9 U+1F1EB
*🇹🇬*,U+1F1F9 U+1F1EC
*🇹🇭*,U+1F1F9 U+1F1ED
*🇹🇯*,U+1F1F9 U+1F1EF
*🇹🇰*,U+1F1F9 U+1F1F0
*🇹🇱*,U+1F1F9 U+1F1F1
*🇹🇲*,U+1F1F9 U+1F1F2
*🇹🇳*,U+1F1F9 U+1F1F3
*🇹🇴*,U+1F1F9 U+1F1F4
*🇹🇷*,U+1F1F9 U+1F1F7
*🇹🇹*,U+1F1F9 U+1F1F9
*🇹🇻*,U+1F1F9 U+1F1FB
*🇹🇼*,U+1F1F9 U+1F1FC
*🇹🇿*,U+1F1F9 U+1F1FF
*🇺🇦*,U+1F1FA U+1F1E6
*🇺🇬*,U+1F1FA U+1F1EC
*🇺🇲*,U+1F1FA U+1F1F2
*🇺🇸*,U+1F1FA U+1F1F8
*🇺🇾*,U+1F1FA U+1F1FE
*🇺🇿*,U+1F1FA U+1F1FF
*🇻🇦*,U+1F1FB U+1F1E6
*🇻🇨*,U+1F1FB U+1F1E8
*🇻🇪*,U+1F1FB U+1F1EA
*🇻🇬*,U+1F1FB U+1F1EC
*🇻🇮*,U+1F1FB U+1F1EE
*🇻🇳*,U+1F1FB U+1F1F3
*🇻🇺*,U+1F1FB U+1F1FA
*🇼🇫*,U+1F1FC U+1F1EB
*🇼🇸*,U+1F1FC U+1F1F8
*🇽🇰*,U+1F1FD U+1F1F0
*🇾🇪*,U+1F1FE U+1F1EA
*🇾🇹*,U+1F1FE U+1F1F9
*🇿🇦*,U+1F1FF U+1F1E6
*🇿🇲*,U+1F1FF U+1F1F2
*🇿🇼*,U+1F1FF U+1F1FC
