messagetable_string,metadata_description,metadata_OS,metadata_comment
%%2464,Export of persistent cryptographic key.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2465,Import of persistent cryptographic key.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2480,Open Key.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2481,Create Key.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2482,Delete Key.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2483,Encrypt.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2484,Decrypt.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2485,Sign hash.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2486,Secret agreement.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2487,Domain settings,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2488,Local settings,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2489,Add provider.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2490,Remove provider.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2491,Add context.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2492,Remove context.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2493,Add function.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2494,Remove function.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2495,Add function provider.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2496,Remove function provider.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2497,Add function property.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2498,Remove function property.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2499,Machine key.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2500,User key.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2501,Key Derivation.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2502,Claim Creation.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2503,Claim Verification.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4352,Device Access Bit 0,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4353,Device Access Bit 1,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4354,Device Access Bit 2,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4355,Device Access Bit 3,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4356,Device Access Bit 4,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4357,Device Access Bit 5,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4358,Device Access Bit 6,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4359,Device Access Bit 7,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4360,Device Access Bit 8,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4361,Undefined Access (no effect) Bit 9,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4362,Undefined Access (no effect) Bit 10,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4363,Undefined Access (no effect) Bit 11,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4364,Undefined Access (no effect) Bit 12,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4365,Undefined Access (no effect) Bit 13,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4366,Undefined Access (no effect) Bit 14,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4367,Undefined Access (no effect) Bit 15,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4368,Query directory,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4369,Traverse,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4370,Create object in directory,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4371,Create sub-directory,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4372,Undefined Access (no effect) Bit 4,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4373,Undefined Access (no effect) Bit 5,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4374,Undefined Access (no effect) Bit 6,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4375,Undefined Access (no effect) Bit 7,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4376,Undefined Access (no effect) Bit 8,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4377,Undefined Access (no effect) Bit 9,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4378,Undefined Access (no effect) Bit 10,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4379,Undefined Access (no effect) Bit 11,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4380,Undefined Access (no effect) Bit 12,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4381,Undefined Access (no effect) Bit 13,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4382,Undefined Access (no effect) Bit 14,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4383,Undefined Access (no effect) Bit 15,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4384,Query event state,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4385,Modify event state,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4386,Undefined Access (no effect) Bit 2,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4387,Undefined Access (no effect) Bit 3,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4388,Undefined Access (no effect) Bit 4,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4389,Undefined Access (no effect) Bit 5,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4390,Undefined Access (no effect) Bit 6,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4391,Undefined Access (no effect) Bit 7,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4392,Undefined Access (no effect) Bit 8,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4393,Undefined Access (no effect) Bit 9,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4394,Undefined Access (no effect) Bit 10,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4395,Undefined Access (no effect) Bit 11,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4396,Undefined Access (no effect) Bit 12,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4397,Undefined Access (no effect) Bit 13,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4398,Undefined Access (no effect) Bit 14,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4399,Undefined Access (no effect) Bit 15,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4416,ReadData (or ListDirectory),windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4417,WriteData (or AddFile),windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4418,AppendData (or AddSubdirectory or CreatePipeInstance),windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4419,ReadEA,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4420,WriteEA,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4421,Execute/Traverse,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4422,DeleteChild,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4423,ReadAttributes,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4424,WriteAttributes,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4425,Undefined Access (no effect) Bit 9,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4426,Undefined Access (no effect) Bit 10,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4427,Undefined Access (no effect) Bit 11,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4428,Undefined Access (no effect) Bit 12,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4429,Undefined Access (no effect) Bit 13,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4430,Undefined Access (no effect) Bit 14,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4431,Undefined Access (no effect) Bit 15,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4432,Query key value,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4433,Set key value,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4434,Create sub-key,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4435,Enumerate sub-keys,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4436,Notify about changes to keys,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4437,Create Link,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4438,Undefined Access (no effect) Bit 6,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4439,Undefined Access (no effect) Bit 7,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4440,Enable 64(or 32) bit application to open 64 bit key,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4441,Enable 64(or 32) bit application to open 32 bit key,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4442,Undefined Access (no effect) Bit 10,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4443,Undefined Access (no effect) Bit 11,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4444,Undefined Access (no effect) Bit 12,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4445,Undefined Access (no effect) Bit 13,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4446,Undefined Access (no effect) Bit 14,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4447,Undefined Access (no effect) Bit 15,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4448,Query mutant state,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4449,Undefined Access (no effect) Bit 1,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4450,Undefined Access (no effect) Bit 2,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4451,Undefined Access (no effect) Bit 3,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4452,Undefined Access (no effect) Bit 4,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4453,Undefined Access (no effect) Bit 5,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4454,Undefined Access (no effect) Bit 6,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4455,Undefined Access (no effect) Bit 7,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4456,Undefined Access (no effect) Bit 8,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4457,Undefined Access (no effect) Bit 9,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4458,Undefined Access (no effect) Bit 10,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4459,Undefined Access (no effect) Bit 11,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4460,Undefined Access (no effect) Bit 12,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4461,Undefined Access (no effect) Bit 13,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4462,Undefined Access (no effect) Bit 14,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4463,Undefined Access (no effect) Bit 15,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4464,Communicate using port,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4465,Undefined Access (no effect) Bit 1,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4466,Undefined Access (no effect) Bit 2,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4467,Undefined Access (no effect) Bit 3,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4468,Undefined Access (no effect) Bit 4,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4469,Undefined Access (no effect) Bit 5,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4470,Undefined Access (no effect) Bit 6,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4471,Undefined Access (no effect) Bit 7,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4472,Undefined Access (no effect) Bit 8,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4473,Undefined Access (no effect) Bit 9,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4474,Undefined Access (no effect) Bit 10,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4475,Undefined Access (no effect) Bit 11,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4476,Undefined Access (no effect) Bit 12,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4477,Undefined Access (no effect) Bit 13,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4478,Undefined Access (no effect) Bit 14,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4479,Undefined Access (no effect) Bit 15,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4480,Force process termination,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4481,Create new thread in process,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4482,Set process session ID,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4483,Perform virtual memory operation,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4484,Read from process memory,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4485,Write to process memory,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4486,Duplicate handle into or out of process,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4487,Create a subprocess of process,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4488,Set process quotas,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4489,Set process information,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4490,Query process information,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4491,Set process termination port,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4492,Undefined Access (no effect) Bit 12,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4493,Undefined Access (no effect) Bit 13,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4494,Undefined Access (no effect) Bit 14,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4495,Undefined Access (no effect) Bit 15,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4496,Control profile,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4497,Undefined Access (no effect) Bit 1,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4498,Undefined Access (no effect) Bit 2,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4499,Undefined Access (no effect) Bit 3,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4500,Undefined Access (no effect) Bit 4,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4501,Undefined Access (no effect) Bit 5,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4502,Undefined Access (no effect) Bit 6,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4503,Undefined Access (no effect) Bit 7,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4504,Undefined Access (no effect) Bit 8,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4505,Undefined Access (no effect) Bit 9,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4506,Undefined Access (no effect) Bit 10,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4507,Undefined Access (no effect) Bit 11,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4508,Undefined Access (no effect) Bit 12,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4509,Undefined Access (no effect) Bit 13,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4510,Undefined Access (no effect) Bit 14,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4511,Undefined Access (no effect) Bit 15,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4512,Query section state,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4513,Map section for write,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4514,Map section for read,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4515,Map section for execute,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4516,Extend size,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4517,Undefined Access (no effect) Bit 5,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4518,Undefined Access (no effect) Bit 6,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4519,Undefined Access (no effect) Bit 7,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4520,Undefined Access (no effect) Bit 8,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4521,Undefined Access (no effect) Bit 9,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4522,Undefined Access (no effect) Bit 10,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4523,Undefined Access (no effect) Bit 11,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4524,Undefined Access (no effect) Bit 12,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4525,Undefined Access (no effect) Bit 13,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4526,Undefined Access (no effect) Bit 14,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4527,Undefined Access (no effect) Bit 15,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4528,Query semaphore state,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4529,Modify semaphore state,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4530,Undefined Access (no effect) Bit 2,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4531,Undefined Access (no effect) Bit 3,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4532,Undefined Access (no effect) Bit 4,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4533,Undefined Access (no effect) Bit 5,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4534,Undefined Access (no effect) Bit 6,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4535,Undefined Access (no effect) Bit 7,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4536,Undefined Access (no effect) Bit 8,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4537,Undefined Access (no effect) Bit 9,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4538,Undefined Access (no effect) Bit 10,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4539,Undefined Access (no effect) Bit 11,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4540,Undefined Access (no effect) Bit 12,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4541,Undefined Access (no effect) Bit 13,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4542,Undefined Access (no effect) Bit 14,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4543,Undefined Access (no effect) Bit 15,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4544,Use symbolic link,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4545,Undefined Access (no effect) Bit 1,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4546,Undefined Access (no effect) Bit 2,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4547,Undefined Access (no effect) Bit 3,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4548,Undefined Access (no effect) Bit 4,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4549,Undefined Access (no effect) Bit 5,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4550,Undefined Access (no effect) Bit 6,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4551,Undefined Access (no effect) Bit 7,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4552,Undefined Access (no effect) Bit 8,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%4553,Undefined Access (no effect) Bit 9,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
