messagetable_string,metadata_description,metadata_OS,metadata_comment
%%2062,'Not Delegated' - Disabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2063,'Use DES Key Only' - Disabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2064,'Don't Require Preauth' - Disabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2065,'Password Expired' - Disabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2066,'Trusted To Authenticate For Delegation' - Disabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2067,'Exclude Authorization Information' - Disabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2068,'Undefined UserAccountControl Bit 20' - Disabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2069,'Protect Kerberos Service Tickets with AES Keys' - Disabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2070,'Undefined UserAccountControl Bit 22' - Disabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2071,'Undefined UserAccountControl Bit 23' - Disabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2072,'Undefined UserAccountControl Bit 24' - Disabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2073,'Undefined UserAccountControl Bit 25' - Disabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2074,'Undefined UserAccountControl Bit 26' - Disabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2075,'Undefined UserAccountControl Bit 27' - Disabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2076,'Undefined UserAccountControl Bit 28' - Disabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2077,'Undefined UserAccountControl Bit 29' - Disabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2078,'Undefined UserAccountControl Bit 30' - Disabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2079,'Undefined UserAccountControl Bit 31' - Disabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2080,Account Disabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2081,'Home Directory Required' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2082,'Password Not Required' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2083,'Temp Duplicate Account' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2084,'Normal Account' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2085,'MNS Logon Account' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2086,'Interdomain Trust Account' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2087,'Workstation Trust Account' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2088,'Server Trust Account' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2089,'Don't Expire Password' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2090,Account Locked,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2091,'Encrypted Text Password Allowed' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2092,'Smartcard Required' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2093,'Trusted For Delegation' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2094,'Not Delegated' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2095,'Use DES Key Only' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2096,'Don't Require Preauth' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2097,'Password Expired' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2098,'Trusted To Authenticate For Delegation' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2099,'Exclude Authorization Information' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2100,'Undefined UserAccountControl Bit 20' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2101,'Protect Kerberos Service Tickets with AES Keys' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2102,'Undefined UserAccountControl Bit 22' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2103,'Undefined UserAccountControl Bit 23' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2104,'Undefined UserAccountControl Bit 24' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2105,'Undefined UserAccountControl Bit 25' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2106,'Undefined UserAccountControl Bit 26' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2107,'Undefined UserAccountControl Bit 27' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2108,'Undefined UserAccountControl Bit 28' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2109,'Undefined UserAccountControl Bit 29' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2110,'Undefined UserAccountControl Bit 30' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2111,'Undefined UserAccountControl Bit 31' - Enabled,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2304,An Error occured during Logon.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2305,The specified user account has expired.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2306,The NetLogon component is not active.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2307,Account locked out.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2308,The user has not been granted the requested logon type at this machine.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2309,The specified account's password has expired.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2310,Account currently disabled.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2311,Account logon time restriction violation.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2312,User not allowed to logon at this computer.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2313,Unknown user name or bad password.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2314,Domain sid inconsistent.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2315,Smartcard logon is required and was not used.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2432,Not Available.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2436,Random number generator failure.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2437,Random number generation failed FIPS-140 pre-hash check.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2438,Failed to zero secret data.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2439,Key failed pair wise consistency check.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2448,Failed to unprotect persistent cryptographic key.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2449,Key export checks failed.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2450,Validation of public key failed.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2451,Signature verification failed.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2456,Open key file.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2457,Delete key file.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2458,Read persisted key from file.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
%%2459,Write persisted key to file.,windows10,taken from https://gist.github.com/brianreitz/d5b9397a2e8b3d52ceb9359897e07c3f
