file_extension,metadata_description,metadata_category
*.exe1,,executable
*.exif,,
*.exp,,
*.ezip,,
*.ezw,,
*.f,,
*.f3d,,
*.f77,,
*.f90,,
*.fact,,
*.fasta,,
*.fastq,,
*.fbx,,
*.fc#,,
*.fcp,,
*.fcstd,,
*.fdb,,
*.fds,,
*.fdx,,
*.fef,,
*.fes,,
*.ffppkg,,
*.fig,,
*.fits,,
*.fla,,
*.flac,,
*.flipchart,,
*.flm,,
*.flp,,
*.flr,,
*.flv,,
*.fm,,
*.fmf,,
*.fmz,,
*.fnt,,
*.fon,,
*.fond,,
*.fontdat,,
*.for,,
*.fp,,
*.fp3,,
*.fp5,,
*.fp7,,
*.frm,,
*.frx,,
*.frz,,
*.fs,,
*.fsdb,,
*.fth,,
*.ftm,,
*.ftmb,,
*.ftn,,
*.ftx,,
*.fx,,
*.g,,
*.g6,,
*.ga3,,
*.gadget,,executable
*.gb,,
*.gba,,
*.gbc,,
*.gbr,,
*.gbs,,
*.gbx,,
*.gcf,,
*.gcm,,
*.gcproj,,
*.gdb,,
*.gdf,,
*.gdoc,,
*.gdraw,,
*.gdsii,,
*.ged,,
*.genbank,,
*.geotiff,,
*.gff,,
*.gg,,
*.ggp,,
*.gho,,
*.ghost.gbx,,
*.ghs,,
*.gif,,
*.gii,,
*.glb,,
*.glm,,
*.gltf,,
*.gm6,,
*.gmd,,
*.gmk,,
*.gml,,
*.gms,,
*.gnumeric,,
*.go,,
*.gp,,
*.gpl,,
*.gpx,,
*.grb,,
*.grf,,
*.gri,,
*.grib,,
*.grir,,
*.gro,,
*.grp,,
*.gsc,,
*.gsheet,,
*.gslides,,
*.gsm,,
*.gtable,,
*.gtf,,
*.gxk,,
*.gym,,
*.gz,,
*.gzip,,
*.h,,
*.h4,,
*.h5,,
*.hambu,,
*.harwell-boeing,,
*.hdd,,
*.hdf,,
*.hdr,,
*.he0,,
*.he2,,
*.he4,,
*.head,,
*.hec,,
*.hex,,
*.hitran,,
*.hl2,,
*.hl7,,
*.hl7aecg,,
*.hlp,,
*.hpp,,
*.hs,,
*.hta,,executable
*.htm,,document
*.html,,document
*.hwp,,
*.hwpml,,
*.hxx,,
*.i,,
*.iam,,
*.ibi,,
*.icb,,
