file_extension
*.accdb
*.ace
*.ahk
*.app
*.appxmanifest
*.asm
*.asp
*.aspx
*.au3
*.awk
*.backup
*.bak
*.bas
*.bat
*.bdsproj
*.btm
*.c
*.cbl
*.cc
*.cfg
*.cgi
*.cls
*.cmakelists.txt
*.cmd
*.cnf
*.cob
*.conf
*.config
*.cpp
*.cppm
*.cs
*.csproj
*.cu
*.cxx
*.dcu
*.def
*.dfm
*.dlg
*.doc
*.docm
*.docx
*.dpc
*.dpj
*.dpk
*.dpr
*.dproj
*.dtd
*.dxp
*.e
*.eng
*.f
*.flt
*.fmt
*.for
*.fp
*.frm
*.frx
*.gnumakefile
*.go
*.h
*.hdl
*.hh
*.hhp
*.hid
*.hpp
*.hrc
*.hta
*.hwp
*.hwpx
*.hxx
*.idl
*.inc
*.inf
*.info
*.ini
*.ins
*.iss
*.ixx
*.java
*.js
*.jse
*.json
*.jsp
*.jsproj
*.jqs
*.kdelnk
*.l
*.lfm
*.lgt
*.ll
*.lng
*.lnk
*.lnx
*.lpk
*.lpr
*.lst
*.m
*.mac
*.macos
*.makefile
*.manifest
*.map
*.md
*.mdb
*.mk
*.mod
*.myapp
*.nfo
*.odf
*.odg
*.odp
*.ods
*.odt
*.nsi
*.par
*.pas
*.pdf
*.php
*.php3
*.pl
*.pm
*.pmk
*.policy
*.pp
*.pps
*.ppt
*.pptx
*.pre
*.prj
*.properties
*.ps
*.ps1
*.py
*.r
*.rb
*.rc
*.rdb
*.rdme
*.reg
*.resources
*.s
*.sbl
*.scp
*.sdi
*.seg
*.settings
*.sh
*.sln
*.smali
*.smf
*.sms
*.source
*.sql
*.src
*.swift
*.tag
*.toml
*.unx
*.url
*.vb
*.vba
*.vbe
*.vbp
*.vbproj
*.vbs
*.vcxproj
*.wsh
*.xaml
*.xfm
*.xls
*.xlsm
*.xlsx
*.xml
*.y
*.yaml
*.yml
*.yxx
*.~ddp
*.~dfm
