file_name,metadata_category,metadata_description,metadata_confidence,metadata_common,metadata_execution,metadata_InitialAccess,metadata_exec,metadata_windowsbuiltin,metadata_comment,metadata_chromeplatform,metadata_chromedangerlevel,metadata_chromeautoopenhint,metadata_container,metadata_businesscase,metadata_execute,metadata_code,metadata_tags,metadata_reference
.cab,Archive,Cabinet file,,,True,sometimes,,True,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.cpio,Archive,,High,,True,,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.lha,Archive,,High,,True,,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.rev,Archive,,High,,True,,,,,,,,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.rpm,Archive,,,,True,,,,,PLATFORM_TYPE_LINUX,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.tbz,Archive,,,,True,,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.tbz2,Archive,,,,True,,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.tgz,Archive,,,,True,,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.xxe,Archive,,,,True,,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.xar,Archive,,,,True,,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.webarchive,Archive,,,,True,,,,,,,,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.gz,Archive,,,,True,,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.tar,Archive,,,,True,,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.ace,Archive,,,,True,,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.arj,Archive,,,,True,,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.bzip,Archive,,,,True,,,,,,,,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.bzip2,Archive,,,,True,,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.gzip,Archive,,,,True,,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.r00,Archive,,,,True,,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.r01,Archive,,,,True,,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.lzma,Archive,,,,True,,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.lz,Archive,,,,True,,,,,,,,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.lzh,Archive,,,,True,,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.xz,Archive,,,,True,,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.r02,Archive,,,,True,,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.r03,Archive,,,,True,,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.crx,Browser,Chrome extension,,,True,,,,Chrome displays a prompt prior to installation,PLATFORM_TYPE_ANY,ALLOW_ON_USER_GESTURE,ALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.partial,Browser,will open in IE even when chrome is set as default browser,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.xrm-ms,Browser,will open in IE even when chrome is set as default browser,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
